,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-CHL_annual_forward_GWh,HVDC_CHL-MEX_annual_reverse_GWh,HVDC_MEX-CHL_annual_total_GWh
10,11,MEX_2042_low-CHL_2040_low,394546.0034475537,242217.02064799127,160.1730519275964,66352.50468624219,40734.68203250941,23.98662950159061,467086.6593182209,286750.69070753315,106746.2510468,65532.938283419644,5.302655334563107,29.77699159532461,52124.26357089427,31999.776237223767,0.6227074646586155,3.467453149478634,25.373373925257837,19866.689161612267,12196.423780288322,1.5438679303101734,6.019335180123226,0.47933583410031755,17.254477839322398,32067.6824512672,19686.775267169352,0.3239018248667298,1.0051725782809156,9.18107427479468,9520.276030866326,5844.62363271525,0.3270063256624529,1.4647376965249728,0.003288228251075576,0.2106393522298517,0.029815994176534313,0.029849482454653468,4.94011042188761e-06,626.1351794654917,626.1351844056021
11,12,MEX_2042_low-CHL_2040_low,397260.87120746705,232270.20375944057,161.27520136235293,69407.82494373429,40581.317745138454,25.09113694063478,482305.1721611917,281993.8451819173,112174.787227525,65586.27484961168,6.525163071806859,35.52215466713147,62181.10202799511,36356.002528339406,0.7223200479376357,3.96419741204207,28.55757133729991,22359.832580402093,13073.331017201255,1.721589670895976,5.772146833625856,0.5972393701303664,17.722717209452764,32937.911708411244,19258.114801665724,0.3194447363844853,1.1956568518091713,10.247731126603853,10626.34132949014,6213.001694116122,0.37545305696841236,1.4592230234796881,0.002867666333757694,0.200608906885573,0.030405733993418116,0.030420767279648354,5.248407870436535e-06,573.3556088332723,573.3556140816802
12,13,MEX_2042_low-CHL_2040_low,386131.7729626279,215012.6195328332,156.75714360609206,67336.1822945424,37495.305898826475,24.342231908023948,488672.77495816664,272111.286341369,111345.93981244584,62001.585649716246,8.02951548371375,43.42267015084522,76010.85880851845,42325.6903723944,0.8352197919128332,4.532104817048186,32.96067615434809,25807.348665727153,14370.497401031587,1.9075335155318651,5.343278608010435,0.7441439589083975,18.20386116836116,33832.12431984464,18838.992757724503,0.3168862580669208,1.4222386664417634,11.406969793045615,11828.40894814316,6586.500699832377,0.42860585676512364,1.3482562095100012,0.003921660487711097,0.1910561017957838,0.031003706173972842,0.03105165610727351,5.350735617034045e-06,823.2936017947459,823.2936071454815
13,14,MEX_2042_low-CHL_2040_low,384325.7983967863,203816.17649361488,156.02397572354656,66784.11126199209,35417.04008610527,24.142656573543913,508269.34102831664,269546.0834257307,112761.16642831666,59799.65408060373,9.880690826221139,53.303360977066355,93306.88857162363,49482.63517181344,0.9631527510060751,5.1813701331616056,38.14204628750969,29864.226169286707,15837.636758072676,2.1022898622974604,5.065035802042823,0.9271830680874253,18.741044236448587,34830.486380177,18471.350580768,0.3163834436521045,1.691758652376946,12.708728445422562,13178.262061761965,6988.713735751249,0.48697409296475724,1.273525927416172,0.003991386536846064,0.18195819218646075,0.031493589790776357,0.03155744943534543,5.587706065036844e-06,879.8281134490196,879.8281190367256
14,15,MEX_2042_low-CHL_2040_low,365899.54768164776,184804.13554955597,148.54350757322328,65182.39860325762,32921.54063388528,23.563632642273443,509270.1742509625,257216.04443060467,113280.10695893875,57214.15173686459,12.158647853832335,63.10100883089869,110457.55261614549,55788.56999273138,1.1080667892929763,5.923648622563102,41.7046949100728,32653.687002717754,16492.330852219024,2.306463798414044,4.592567572542018,1.1552448037194656,19.589289040168055,36406.96091970914,18387.98922650534,0.31811949749388035,2.01235376693324,14.414082212355801,14946.621417709468,7549.059483641497,0.551113981331431,1.1837927581132468,0.0049873115275375895,0.17329351636805787,0.032405797715178666,0.03256177475915862,62.07937850694472,1092.2502570237796,1154.3296355307243
15,16,MEX_2042_low-CHL_2040_low,359729.9128242556,173036.23876324104,146.03883324943746,65781.76906943251,31642.155665068756,23.780306863907054,533221.0742550668,256488.45377912186,117642.14743153541,56587.88437070722,14.961779518612948,77.60878834951164,135853.24516069848,65347.7337534403,1.2721296340443264,6.772265269955234,48.022960180028036,37600.72370854028,18086.59100440238,2.52067425735089,4.300123569505304,1.4394035034245332,20.734692543592587,38535.70895650452,18536.334895136002,0.3223064623227325,2.3937029537875674,16.513785166143368,17123.899490468553,8236.888440906623,0.6216323009487293,1.137788633404542,0.005290638389845043,0.1650414441600551,0.032853124078085015,0.033043017563261584,117.66723915649737,1168.0951767426545,1285.7624158991518
16,17,MEX_2042_low-CHL_2040_low,334610.6316775822,153288.98575232096,135.84120892088472,66535.3443532974,30480.607867910978,24.05272658975006,539175.450283375,247002.48614971535,121856.78840625835,55823.998801775,18.41116290682179,95.54595125633344,167252.03184054728,76620.08286262721,1.4577471578975119,7.742453985529797,55.442414165557835,43409.96242127912,19886.603954401657,2.7455528544373022,3.809384584930928,1.7934574897027924,21.681150033295374,40294.71311276152,18459.472352294004,0.3291880753008129,2.8473193556336445,18.514104521777014,19198.12216262343,8794.880963296248,0.6991902582278393,1.096021697714342,0.004583354237957285,0.15718232777148106,0.03348885990588797,0.0340090805207079,273.4066343339907,896.1610799687602,1169.567714302751
17,18,MEX_2042_low-CHL_2040_low,316885.90583339415,138256.27106567586,128.64553741937135,62932.13782769956,27457.08327849524,22.75015662112687,548748.3695133375,239417.0959505278,120833.59920888333,52719.29908693368,22.6557889828439,118.03674023917733,206621.8858805769,90148.44439760424,1.6675814351310816,8.851631075940196,64.29404524149803,50340.558394718784,21963.41888009673,2.9817423506532386,3.43580659225311,2.234599095888449,23.23174912918383,43176.52268585989,18837.773830395698,0.3390427588105006,3.3868979023223837,21.217002424099398,22000.880679020916,9598.91136477853,0.7845074730216095,0.9873018005281315,0.004918646464835821,0.14969745502045814,0.03379655914325776,0.03543070527229474,467.770417668946,850.1125769477793,1317.8829946167252
18,19,MEX_2042_low-CHL_2040_low,305485.19176843116,126935.40693593715,124.01721233184632,59730.411642475,24819.219761185544,21.59272299998964,557374.1283655042,231600.46282462685,122766.05182807083,51011.83025109535,27.878998031404482,145.9157382705818,255423.73467814105,106133.8375021594,1.904567955344758,10.119707892482795,74.41375313398083,58264.025399874954,24209.905989371706,3.229894691675651,3.1544717977649697,2.7842495002059167,25.306998629389746,47033.40219270261,19543.3500797575,0.35218669222402466,4.028728768362232,24.536731192461627,25443.25934588156,10572.199785363913,0.8783660522447609,0.8924495041727094,0.008878822859765477,0.1425690047813887,0.03383380382030566,0.03737765405073058,1877.3666575885059,620.538453073727,2497.905110662233
19,20,MEX_2042_low-CHL_2040_low,299624.66522692534,118571.65439004035,121.63802609284431,55295.004467433646,21882.11092115088,19.98930999999067,578293.2385530584,228850.27160857557,124282.192960175,49182.68400683695,34.30639876738002,180.22213703796183,315476.67071080225,124844.8312468246,2.1719311666353716,11.569448268979317,85.98320140296013,67322.6012600748,26641.83939330354,3.490668561422475,2.946624183246889,3.4690989062246285,28.59209753561437,53138.80332548783,21028.82891112484,0.36897688870097,4.792189182289959,29.144920374751585,30221.70157440102,11959.75355181405,0.9816147036284921,0.7868369445027433,0.01316617915322342,0.1357800045537035,0.0335322424725786,0.03918815525924611,3329.6315668780594,559.651962017574,3889.2835288956335
