RE_PV_Openfield_Lim_[MX],RE_WIND_Onshore_Lim_[MX],BESSch_[MX],BESSdisch_[MX],PP_CO2_[MX],PP_CO2_Existing_[MX],EL_Demand_[MX]
37.15499225619464,1.916866913055657e-09,2.4377058276176955,0.2425250605358064,2.1562961224349e-07,2.6034374905293147e-07,36.5321524
39.16841772962278,2.6561078688302443e-09,2.3780099043226337,0.29434799861047156,2.0871917580618108e-07,2.495014614304978e-07,36.9252834
38.11638627497324,3.6604756357520357e-09,2.468824616563086,0.23032818411298225,2.1747943113760528e-07,2.6490399377290896e-07,38.6795033
34.92490059608248,4.893192457887902e-09,3.2066870910907016e-06,0.35488981030277644,9.424086444591627e-07,0.9657369796009504,40.5990314
28.76112035720574,5.8060507569868725e-09,2.9136189833719435e-06,0.233168540887179,1.0310676124548078e-06,7.573606038689452,40.3160817
21.211470182030602,7.526870227896003e-09,2.995938770314785e-06,0.18490432171753404,1.1176768106470703e-06,14.35562318484996,38.8110539
11.172454267584126,1.087039010272105e-08,2.8153822017696615e-06,0.17249743862842648,1.2178503169905311e-06,27.086111910204476,40.6684295
4.2696229724205175,1.0584086266600823e-08,2.7971974887657757e-06,0.16007269311848363,1.2399544638863282e-06,33.209775644468564,39.0768441
0.5537968256590734,1.0158461233792443e-08,2.815826781102422e-06,0.14984683099800683,1.2464984072195421e-06,36.349147236610285,38.0349226
0.006550658304821582,9.696093368042186e-09,2.9130380352567267e-06,0.13779794856386057,1.247287593992025e-06,35.992130249558045,37.0154833
0.0,9.443493141550222e-09,2.993349545863236e-06,0.12952415101132825,1.247798291025545e-06,35.75814716483333,36.7431775
0.0,8.469265608382744e-09,3.058249104226074e-06,0.12348484020632061,1.2482042477999646e-06,35.66301295627288,36.5535633
0.0,7.494743691322045e-09,3.078974751345953e-06,0.1197216774631712,1.2495670054438615e-06,36.3096699280682,37.1079328
0.0,6.793749564799833e-09,3.092942773203796e-06,0.11673945282847627,1.2507540228232146e-06,36.89343026774755,37.6250404
0.0,6.112952081040267e-09,3.054704953594052e-06,0.11569715392969404,1.2532963774076029e-06,38.41344903999126,39.0821345
0.0,5.376439657033767e-09,3.008676924627517e-06,0.11546800055157672,1.255936860069799e-06,39.98294203807347,40.5844292
0.0,4.07789999637006e-09,2.9690885314845694e-06,0.11548829020953137,1.258024818576288e-06,41.180828408963244,41.6642524
0.0,3.845640104595941e-09,2.9314015691099195e-06,0.11584187010991046,1.2593031478286666e-06,41.974045134914235,42.4366933
0.0014775473252356844,3.472052405671536e-09,2.876315251230892e-06,0.1176942860123752,1.259960087701411e-06,42.852826275700195,43.2849516
0.6334271832434288,2.9964836492278934e-09,2.8344897886501697e-06,0.11957802491721051,1.2576948091694065e-06,42.61120762390434,43.7047571
6.156341594785794,3.0593456488652187e-09,2.9086081552333534e-06,0.11396325591062864,1.2451106402281009e-06,36.95995937060977,44.1961529
15.734130731073787,3.185840877017173e-09,3.1090586986848794e-06,0.10592217395209225,1.2171309693597732e-06,26.721941176186874,44.6138966
25.20079751842423,3.360916985993779e-09,3.3336761506701196e-06,0.10053186115179152,1.148217077750166e-06,16.60385132434974,45.0349842
32.07404850751263,3.606956382426483e-09,3.5963521434862013e-06,0.09616907803045353,1.0742099094437835e-06,8.299747918522124,44.3932021
37.20465067347833,3.981524309715489e-09,4.248533057227964e-06,0.08947762551258572,1.022581357120047e-06,1.7898980648250915,43.6169743
39.40686874228524,4.599640870316601e-09,1.5190349877519032,2.5298158630410366e-06,8.934039722178829e-07,3.517193265716367e-06,42.7262531
37.74254624508159,5.276973208730475e-09,4.791152968520163e-06,0.07677306893249974,1.0111914495593788e-06,0.34769581741947453,42.8784161
33.76670315298497,6.318189962179888e-09,3.701868197012029e-06,0.091049791303238,1.0498269912692096e-06,5.5308648825955595,43.7483886
27.812706038580036,7.1121572452419925e-09,3.3969169324416684e-06,0.09365014007155582,1.1027032262128608e-06,12.031868140598624,43.7022891
19.30836727611089,8.92167142164816e-09,3.143665447703361e-06,0.09772144633702326,1.1721405294873717e-06,20.399232231540484,42.7799282
11.968258856360473,8.002841598736594e-09,3.1845210695676796e-06,0.09521402664344596,1.1998257601742563e-06,23.055253029490572,37.1865252
4.088765989182726,8.497323385707138e-09,3.0051560017546555e-06,0.09968525969572506,1.230678525641967e-06,30.41476309616239,35.8320502
0.43595875775255505,9.133991900797845e-09,2.983504696993644e-06,0.09961466683770948,1.239151032971599e-06,33.36085901002136,34.7734419
0.0029668692012532892,9.34235462042567e-09,3.0597704211726864e-06,0.09593567737793456,1.2397360065989937e-06,32.99569350233807,33.9420776
0.0,8.82659419334676e-09,3.119015015470173e-06,0.09369243892189075,1.2403896090354262e-06,32.8916820617454,33.7856785
0.0,8.086129086729024e-09,3.1624406144706417e-06,0.09225314068046388,1.2412944584162236e-06,33.02004598029979,33.8453047
0.0,7.5119858797939e-09,3.1452712049622137e-06,0.09229598187467893,1.243948302412034e-06,34.263363131290554,35.0364538
0.0,6.949024876196577e-09,3.1278109767560772e-06,0.09242618634837965,1.2462685011880413e-06,35.38523064701648,36.1072553
0.0,6.254790733091227e-09,3.0793267807785364e-06,0.09341417661386642,1.2492703096542724e-06,37.039328042237855,37.6991857
0.0,5.746139519341706e-09,3.0158822526936185e-06,0.09512231128735579,1.2524400838566892e-06,38.92001825628031,39.5352871
0.0,4.767590842928411e-09,2.965531960918205e-06,0.0967398302433057,1.2546090248285093e-06,40.25497316588483,40.7828346
0.0,4.684028894070809e-09,2.9220172031759927e-06,0.09832645920804646,1.2556991101496003e-06,41.02227348259208,41.5440832
0.00020235222218270655,4.611835763477833e-09,2.8601132064274694e-06,0.10116808862005137,1.2562681149243335e-06,41.90283348054566,42.421074
0.5414085541015551,4.358014616904025e-09,2.8074149686261163e-06,0.10420255359502385,1.2543682273313183e-06,41.80746352766203,42.907493
5.935775278303142,4.500049422319949e-09,2.8712286245278614e-06,0.10027447165856038,1.2440204599030122e-06,36.13000681806993,43.238558
15.49309390547377,4.294938310100116e-09,3.054790146229127e-06,0.09406940554945595,1.211266133657339e-06,25.803446814101758,43.5166287
25.099730588845507,4.132274862981295e-09,3.2680350023516106e-06,0.08992790197043776,1.1352812163176945e-06,15.380485516879094,43.7590199
32.47864830638384,4.054668207206876e-09,3.5533103058334173e-06,0.08623363090303517,1.0576502346508569e-06,6.570654805955993,43.1451172
36.69238997381027,4.2463481216059904e-09,4.409955651319838e-06,0.07859925698912303,1.0066277901479845e-06,0.7314285940118305,42.0022607
38.89740826449608,4.855104859014145e-09,2.447688365030279,2.6370750061267846e-06,8.923880200601406e-07,3.3566433578404234e-06,41.2542253
37.516800720051364,5.652763671481976e-09,0.17239478491813673,2.7058149294196407e-06,8.983802098339318e-07,4.025956500941696e-06,42.066589
32.518979550259154,6.546377710097364e-09,3.4954583057819525e-06,0.083543667452894,1.0493982285373789e-06,6.159702937695004,43.0029819
27.479031380090017,6.205723853458795e-09,3.3439649763387273e-06,0.08400637152692454,1.0996896656162325e-06,11.625870173250556,42.8333599
19.550989885023895,7.919802417827341e-09,3.1793196281449043e-06,0.08521615183648543,1.1715542319887437e-06,19.20478289631919,41.7520178
11.008133713183275,7.596206442420451e-09,2.989733195090408e-06,0.08818552763376102,1.2256462549404529e-06,28.338637482813144,41.3582603
3.4916705265016112,9.174762800781416e-09,2.892064557111439e-06,0.09044074666029718,1.2436198221082927e-06,34.88181442776496,39.6876216
0.32119181319676826,1.0684815788728703e-08,2.9052553496070097e-06,0.08877450230503982,1.2489457833384678e-06,37.04920755196171,38.4646059
4.08133518552289e-05,1.1098649927384787e-08,2.9853587577616986e-06,0.08491090904777707,1.2494247219901053e-06,36.531394721641945,37.6234846
0.0,1.0928028884402392e-08,3.056630410216952e-06,0.08216922907684733,1.249459030746274e-06,36.06911498474855,37.1429708
0.0,1.040558401218285e-08,3.1001562114572115e-06,0.08048927725713176,1.2500262231974206e-06,36.11661072212514,37.1413199
0.0,9.302660333185639e-09,3.109749109049538e-06,0.0796644260739485,1.2513248968585093e-06,36.7561897720792,37.6798001
0.0,8.1710312630681e-09,3.1112289075770385e-06,0.07907582446331576,1.2525749817751686e-06,37.42642490184969,38.2465564
0.0,7.239405317700967e-09,3.06344225164469e-06,0.0796490778991773,1.2551723355592005e-06,39.05365404332221,39.7896269
0.0,6.601884727777435e-09,3.0266398012630154e-06,0.08017932808055805,1.2573731983123254e-06,40.31827018801467,40.996787
0.0,5.521910992480967e-09,2.982842941347342e-06,0.08113368672429039,1.2596227877215553e-06,41.58541499586849,42.1666547
0.0,4.9538390014215744e-09,2.9402632182374583e-06,0.08234222049384969,1.261267337971826e-06,42.54972288502778,43.0804832
0.0,4.201412077993915e-09,2.8879316386930937e-06,0.08442524329206409,1.2621858606598068e-06,43.44485809547302,43.9092273
0.419597529828563,3.1000546259237714e-09,2.8457133030247484e-06,0.0867600832044375,1.2606372213684658e-06,43.420602721357206,44.2537587
5.186215269926227,3.019932591704525e-09,2.9143113405452858e-06,0.08329401063817768,1.248848288356413e-06,38.216357033532645,44.3401217
14.435653599539311,3.0400744653707587e-09,3.1058548040084777e-06,0.07766974343222437,1.2258597780799178e-06,28.475601669971798,44.8826325
24.249801305631383,3.1553731825277024e-09,3.365382475811162e-06,0.07345152478365811,1.1618043680651887e-06,17.868115677540136,45.1964876
30.87345072098368,3.068745010422722e-09,3.634193971125688e-06,0.07062978771147023,1.0910248905494225e-06,9.68065054346798,44.3649965
35.63671195627216,2.924226749560582e-09,4.143173290515938e-06,0.06712953974807498,1.041205757165664e-06,3.1283932345492316,43.0937252
37.67716524624488,3.163225701725969e-09,0.6981563791323055,2.5800180636462784e-06,9.067161709062071e-07,4.121255662058895e-06,41.4927928
37.07578746007746,3.882283553166236e-09,4.697205335262599e-06,0.06405617582011258,1.0230201403779552e-06,1.0147403970847713,42.6646884
33.10048980973689,4.976023562384517e-09,3.820943604653552e-06,0.06903610015416528,1.0605953466354478e-06,5.928075518212294,43.2611452
27.2477689877313,7.162288199187186e-09,3.5230375818370026e-06,0.07158457382633604,1.111532354838661e-06,12.076060559446848,43.1012219
19.102687191200676,8.315403062751068e-09,3.266669253042882e-06,0.07485767441594833,1.1816234355194784e-06,20.307440937699273,42.3819629
11.020474056944325,1.2773189665670399e-08,3.079673611548993e-06,0.07850470312580378,1.2297290494191107e-06,28.59948932214528,42.0941679
3.4897621217821575,1.3156249110590124e-08,2.951161486363387e-06,0.08258967057169632,1.246476022870184e-06,35.489676997762885,40.6477642
0.21197278532169134,1.3009774931449187e-08,2.9493223245783337e-06,0.08242958225643722,1.2514686383479151e-06,37.79417558897823,39.2933385
0.0,1.3100733785238124e-08,3.0193292620987713e-06,0.07979281631668726,1.251770700468396e-06,37.28453354058187,38.5536478
0.0,1.2666275774098213e-08,3.084662657305258e-06,0.0781458324497431,1.2516459838678194e-06,36.747225751779695,37.9752266
0.0,1.1599117776593806e-08,3.1143909343950394e-06,0.07774033821372225,1.252381651873281e-06,36.92531008914519,38.0558733
0.0,1.0077286817539445e-08,3.1211530861556513e-06,0.0779437582554099,1.2534654518958602e-06,37.464597499434795,38.456971
0.0,8.560993614131002e-09,3.1136419712756394e-06,0.07851105844730658,1.2546733438822657e-06,38.17363123515868,39.0286734
0.0,7.49630230288318e-09,3.0746755487638575e-06,0.0798630113116838,1.2566991231751925e-06,39.44807328298099,40.2076157
0.0,6.166641487794564e-09,3.013188475183346e-06,0.08204827784551094,1.2594811534351148e-06,41.17127468790458,41.8120348
0.0,4.3285849198682086e-09,2.972869469778758e-06,0.0839064919410018,1.2614861993028722e-06,42.188137472705826,42.6635653
0.0,3.842141190102319e-09,2.921013737276795e-06,0.08652747941976008,1.263318579050072e-06,43.24183452579965,43.675583
0.0,3.340661881836084e-09,2.8659056759417345e-06,0.08986964282312403,1.2641452129585508e-06,44.01164189386245,44.4030469
0.39970982862443527,2.7839550167426832e-09,2.807832781461468e-06,0.0944423814711367,1.2630704728672576e-06,44.32463817039869,45.1144214
5.659478180125748,2.5462509075547206e-09,2.8710260879788867e-06,0.09197550523301465,1.2501747190639656e-06,38.79362797482362,45.4091301
16.078333276351017,2.626456018493246e-09,3.083649547147853e-06,0.08652571532629037,1.222301412357598e-06,27.673166028981207,45.8781528
26.588379678379397,3.0054016273509094e-09,3.3507554507230287e-06,0.0834209673425371,1.1461227216410596e-06,16.282064792420798,46.2074085
33.807574557164834,3.3861150780256682e-09,3.6300324243765467e-06,0.08184845278301243,1.0703993336636516e-06,7.805783361387597,45.7931628
37.78148640616447,3.948962697285753e-09,4.164583937559988e-06,0.0793252726857663,1.0234685340626879e-06,2.0452553576125196,44.5010097
