RE_PV_Openfield_Lim_[MEX],RE_WIND_Onshore_Lim_[MEX],BESSch_[MEX],BESSdisch_[MEX],PP_CO2_[MEX],PP_CO2_Existing_[MEX],EL_Demand_[MEX]
1.5249182891426547,1.14284815144822,20.391983804502175,24.250875118051905,0.0,0.0,35.6232483
8.357320260865086,1.1157862956323419,24.64708607058045,22.036023241607655,0.0,0.0,35.7276157
17.631321920653523,1.1773691601316916,30.83422600622809,21.82626588520894,0.0,0.0,35.6529335
24.698761971575184,1.3135548751433341,33.25772548446358,21.15373550174459,0.0,0.0,35.2937292
29.515458353326643,1.5562074407943636,34.460060605554936,20.68564491155105,0.0,0.0,35.6371991
31.461561459513273,1.6079098645027048,34.816903341504585,20.586942943298258,0.0,0.0,36.9513899
30.80648542921884,1.6689064088365542,34.71698803387011,20.677517176821283,0.0,0.0,36.5522966
28.485857417822544,1.861638632981549,34.31418782694241,20.86483449026844,0.0,0.0,35.3900708
23.849905085151498,1.717076168004992,33.23593348662252,21.38492296330432,0.0,0.0,34.217077
17.155907105342326,2.0290910835129727,31.41837172926587,22.196742970708176,0.0,0.0,32.7310099
9.736169070897432,4.342091001170977,29.593256883525285,22.576279109702803,0.0,0.0,28.5073648
2.3815106493128124,4.681938034761692,26.25758345752735,23.896941953144843,0.0,0.0,27.4332352
0.013108497754780467,4.764479127936955,24.814149452140626,24.251377292097242,0.0,0.0,27.0800002
0.0,4.5402133503286874,24.36529408622731,24.0208058989499,0.0,0.0,26.8538499
0.0,4.105433272392336,23.95074168037243,23.996116862943953,0.0,0.0,26.9912838
0.0,3.5646842781795995,23.49919876549721,24.175409568117146,0.0,0.0,28.0384766
0.0,3.1107764357503425,23.039030552503714,24.493876757028133,0.0,0.0,30.1864073
0.0,2.663618420561063,22.694119267933655,24.771992626455514,0.0,0.0,31.6960298
0.0,2.3060355541988704,22.429114361263423,25.03051653335169,0.0,0.0,33.0992579
0.0,1.9691050256538485,22.21869548272074,25.290842687534433,0.0,0.0,34.3963118
0.0,1.6868371784704723,22.110068493939583,25.48236818288217,0.0,0.0,35.068943
0.0,1.4984768940147442,22.089364631075757,25.63146071313157,0.0,0.0,35.446186
0.0,1.3283852982687507,22.123692194335984,25.815078505324127,0.0,0.0,35.9100262
0.04342984077282306,1.2099364224140403,22.32303826763254,25.95080316662547,0.0,0.0,35.8128195
1.629878220577192,1.089935498912171,23.18017171260597,25.599317606353786,0.0,0.0,35.9582708
9.375342478769277,0.910033758399131,26.977142236369975,23.526433552532104,0.0,0.0,36.3205209
19.055912851421535,0.9368796942158535,31.611728542077813,22.67551095986533,0.0,0.0,36.3544869
26.17508189256361,1.256501852210984,33.70004680411549,22.050427992577923,0.0,0.0,36.0864137
31.13507020579984,1.6214256966288338,34.79694532927059,21.602350598573306,0.0,0.0,36.224564
33.522396659887235,2.02338007249825,35.23200518735005,21.42969974884822,0.0,0.0,37.6406206
33.349657482000836,2.4716639310949193,35.278857082211026,21.409559322480657,0.0,0.0,37.4559477
30.694758017929047,2.865499921305099,34.91733978024245,21.563615081766173,0.0,0.0,36.2920288
25.682903779190305,2.986889430296761,34.00812476855722,21.931536532823678,0.0,0.0,34.789058
18.8394774034496,3.0621423806527015,32.367361595558926,22.36784275039208,0.0,0.0,33.1419446
8.964278070676144,3.0917741675235506,28.025166213231607,22.6283247441973,0.0,0.0,31.5552156
1.9821126919905603,2.9658888327932345,22.82250445764053,23.260736182268474,0.0,0.0,30.2065034
0.03244157502798742,2.906113486888541,21.311000067322425,23.649235249213106,0.0,0.0,29.6583491
0.0,2.7266789356628847,20.908001853927388,23.448374319169144,0.0,0.0,29.2233465
0.0,2.5048637317947433,20.595801452428784,23.423513700326133,0.0,0.0,29.4217961
0.0,2.284305402720103,20.316940186922565,23.518441648274905,0.0,0.0,30.1333729
0.0,2.088223449751105,20.018124357726435,23.757688731851722,0.0,0.0,31.7432453
0.0,1.9279339980077992,19.8366447596103,23.912152694425885,0.0,0.0,32.646623
0.0,1.8376558134621839,19.655484978959347,24.138311339166957,0.0,0.0,34.1677696
0.0,1.7875893196285926,19.53456406124392,24.338253233077996,0.0,0.0,35.4894223
