,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-CHL_annual_forward_GWh,HVDC_CHL-MEX_annual_reverse_GWh,HVDC_MEX-CHL_annual_total_GWh
11,12,MEX-CHL_lowIR_MEX_FF_Costs,276099.24178349786,161429.50840327988,112.0874569883631,52317.143607387414,30588.75033140032,18.912804365501373,482305.1721611917,281993.8451819173,112174.787227525,65586.27484961168,10.599977249710564,55.46742175604374,97095.0507862566,56769.465267520034,0.0,3.964197412364347,28.557571338903184,22359.83258165741,13073.331017935212,0.0,4.01168471332991,24.212583014629157,117.56550124374333,218497.08789892154,127750.72202019824,0.0,1.241203509025994,10.497994645554758,10885.851024059282,6364.731637847846,0.0,0.7601610344856293,0.4942186824180286,0.0,0.013298931413412226,0.015150649092807389,1.593375799794796e-05,98813.11949268014,98813.1195086139
12,13,MEX-CHL_lowIR_MEX_FF_Costs,265348.79789502034,147756.1395363821,107.72312078384552,51050.27761279537,28426.704783156627,18.454828507858355,488672.77495816664,272111.286341369,111345.93981244584,62001.585649716246,13.043763123921533,68.38218487996528,119702.18740285991,66654.65698361487,0.0,4.532104817425016,32.9606761563282,25807.34866727753,14370.497401894894,0.0,3.6718878236186274,30.168217771676375,147.4707190154197,274076.34309681575,152615.9632735778,0.0,1.4764165996276435,11.7114112451824,12144.098220752252,6762.2882993383755,0.0,0.7064320405662248,0.43209877011568204,0.0,0.01154723333065076,0.014397585479522877,1.7240065451271702e-05,90712.63464514974,90712.6346623898
13,14,MEX-CHL_lowIR_MEX_FF_Costs,260876.94149649594,138348.61196663522,105.90769018544937,50478.78984299426,26769.98000847669,18.24823396461197,508269.34102831664,269546.0834257307,112761.16642831666,59799.65408060373,16.050954867625343,84.43313974759062,147799.18972783606,78381.06592074616,0.0,5.181370133600735,38.142046289928935,29864.22617118091,15837.636759077213,0.0,3.4381013559828473,37.588776173499305,184.669495188919,343210.7760837711,182012.00232876523,0.0,1.7562035232759523,13.077614768458353,13560.777169928933,7191.569664556587,0.0,0.6652607731906546,0.3830835384775649,0.0,0.010002311943561005,0.013622297654800459,1.83413041955515e-05,84443.75554911104,84443.75556745235
14,15,MEX-CHL_lowIR_MEX_FF_Costs,252408.8028692606,127483.59738322682,102.469896883228,49716.82116948839,25110.37309751776,17.97278000323357,509270.1742509625,257216.04443060467,113280.10695893875,57214.15173686459,19.75144363745867,101.82358338504929,178240.95094040947,90023.79223144725,0.0,5.923648623073307,41.70469491300224,32653.68700501143,16492.330853377487,0.0,3.1680948785705696,46.83458946479397,231.19708465371295,429682.9358369712,217019.0808402838,0.0,2.0890112018125246,14.859625970270878,15408.626127858257,7782.403256870633,0.0,0.624017881846414,0.2978702538816337,0.0,0.008451922216974214,0.013007602527208437,28.102346201396134,68914.94636854304,68943.04871474444
15,16,MEX-CHL_lowIR_MEX_FF_Costs,250272.68671326817,120385.44149424671,101.60270207961217,49751.14036354698,23931.149164389895,17.985186494843298,533221.0742550668,256488.45377912186,117642.14743153541,56587.88437070722,24.305066519781583,125.67464990483086,219991.95435336768,105819.89148641806,0.0,6.772265270546639,48.02296018354888,37600.72371129702,18086.59100572842,0.0,2.991698606573528,58.354620544451336,289.2577051981643,537589.3911861934,258589.68891287406,0.0,2.4848872829699644,17.050513253240844,17680.45740403593,8504.602313410367,0.0,0.5947129878842523,0.2684539802757855,0.0,0.007201084499135115,0.012312861449429438,2.3139546183975854e-05,65241.28331606195,65241.283339201495
16,17,MEX-CHL_lowIR_MEX_FF_Costs,243233.38766746706,111428.01742346757,98.74497192458631,49992.44772557361,22902.11631563803,18.072419830138045,539175.450283375,247002.48614971535,121856.78840625835,55823.998801775,29.90851045493108,155.10916035976194,271516.7088310487,124384.93272868752,0.0,7.742453986213887,55.44241416976276,43409.962424571466,19886.60395590992,0.0,2.769097660990593,72.70826493408195,361.11897013224626,671144.5324029746,307459.0432153332,0.0,2.955783484408527,19.15929673764937,19867.151494510465,9101.371008783906,0.0,0.5691404925599208,0.23226653702756422,0.0,0.005999213966546407,0.011790595829654844,368.50547063011425,58900.62990857494,59269.13537920506
17,18,MEX-CHL_lowIR_MEX_FF_Costs,237776.33085445917,103741.02554406377,96.52958148432297,48015.18702964284,20948.86705604896,17.357634156776964,548748.3695133375,239417.0959505278,120833.59920888333,52719.29908693368,36.80380783589045,191.7479681956524,335652.49872263597,146444.0733809935,0.0,8.851631076730037,64.2940452464928,50340.55839862957,21963.418881802994,0.0,2.5780682257955254,90.59251418992683,451.02748432217305,838240.7325636772,365721.6550380307,0.0,3.5159164226778112,21.991213160327185,22803.695218402645,9949.176689076614,0.0,0.5206002952098722,0.21598159919899934,0.0,0.0049563511512336405,0.011346241606696592,956.737632514654,56912.531640935245,57869.2692734499
18,19,MEX-CHL_lowIR_MEX_FF_Costs,232759.91192353217,96716.55102936376,94.4930759237724,45508.79937474094,18909.84611842526,16.45156750036697,557374.1283655042,231600.46282462685,122766.05182807083,51011.83025109535,45.28879073607029,237.0367589317227,414929.97904085106,172411.97661520544,0.0,10.11970789339343,74.41375313988624,58264.02540449874,24209.905991292984,0.0,2.4035030096307155,112.8758007729245,563.1942850950976,1046704.2619881034,434927.2403938822,0.0,4.1821968207264755,25.46440998105366,26405.211931280217,10971.910953600232,0.0,0.4699285858889858,0.20303220818328638,0.0,0.004057870115357575,0.01088581027463901,2481.6640199193143,54637.97880438468,57119.64282430399
19,20,MEX-CHL_lowIR_MEX_FF_Costs,228861.38228265068,90568.22041901368,92.91039764252317,42771.5954793154,16926.172726944962,15.46206008055897,578293.2385530584,228850.27160857557,124282.192960175,49182.68400683695,55.72995532095094,292.76671425267364,512484.59165656986,202807.55536631666,0.0,11.569448270028486,85.98320140991473,67322.60126552006,26641.83939545841,0.0,2.2507108456329092,140.64016783334523,703.6504529284429,1307743.9660199983,517518.69443774194,0.0,4.974740051973282,30.25515003302694,31372.94950989081,12415.341452832674,0.0,0.42063231843730947,0.19845495476843245,0.0,0.0033104989423588618,0.010321791215312917,3754.5062464001885,54869.00007430973,58623.50632070992
20,21,MEX-CHL_lowIR_MEX_FF_Costs,225098.8692923294,84837.39644288312,91.38293776886844,40767.64740414341,15364.897548096427,14.737626839540072,592898.8277211043,223457.33257581515,127410.57502744166,48019.70573464411,68.57829210265844,360.2630063553205,630636.0344695114,237680.08891229378,0.0,13.226877167100273,98.3010785769929,76967.17740782262,29008.119691428743,0.0,2.1082941390020893,175.23381161155865,876.7292645399937,1629413.298554252,614108.7354785018,0.0,5.91747343454683,35.98862346755948,37318.25047126547,14064.856121840347,0.0,0.3818330689677446,0.19213389606824172,0.0,0.00269556616471815,0.009880250354619901,4478.135104482189,55115.94667547742,59594.081779959604
21,22,MEX-CHL_lowIR_MEX_FF_Costs,219342.9572541072,78731.47974412866,89.04622167053553,37334.121661507765,13400.797910974612,13.496396983000052,592351.6925559416,212620.11722510034,127482.87813020418,45759.005727289885,84.38876580163863,443.32032102571225,776026.8590432726,278548.91580988356,0.0,15.121747857825177,112.38360390106708,87993.42697353035,31584.568750739978,0.0,1.9565560031213431,218.33654783260005,1092.3807411739058,2030204.5098120682,728726.4074566701,0.0,7.038858610240594,42.80861333275835,44390.21003733227,15933.5269577086,0.0,0.3330232288856303,0.17842400820210355,0.0,0.0021518423098031187,0.009551867859942536,5433.154368591737,52675.622435445584,58108.77680403732
22,23,MEX-CHL_lowIR_MEX_FF_Costs,213801.2186582683,73087.91903649163,86.79645313625981,35948.788261914306,12289.088633055662,12.9955948030468,610285.8149053374,208626.1271513834,133801.64498294168,45740.075088596524,103.84428621902487,545.5261949389339,954937.0049286222,326445.09203069407,0.0,17.288076042951946,128.48357931186453,100599.2872717352,34389.853385248694,0.0,1.8163078759758515,242.98720689956716,1332.022422624751,2475581.843998335,846277.3342352118,0.0,8.372750817205251,50.921018891526714,52802.33457550745,18050.471267709883,0.0,0.3053961416200659,0.1692681037524623,0.0,0.0017481134062014233,0.009006590109746493,5376.568670279892,52506.676348774825,57883.24501905472
23,24,MEX-CHL_lowIR_MEX_FF_Costs,208460.88078568352,67868.88116494239,84.62844685080223,31927.05133494382,10394.531793358567,11.541724838736204,620656.3219174292,202067.88917768563,132415.26990309168,43110.612329782954,127.78520550562308,671.2952581913386,1175094.2287047852,382576.9624736799,0.0,19.764750482345683,146.890022919329,115011.05193485838,37444.29835949341,0.0,1.68660956582998,267.285927586819,1595.1399167884608,2964589.296370267,965185.2083704325,0.0,9.959420998297949,60.5707581507665,62808.59077431212,20448.674913648545,0.0,0.25831450959675384,0.15927014637141992,0.0,0.0014179984553498754,0.008582294976356465,5162.819511242882,52024.7210671378,57187.54057838068
24,25,MEX-CHL_lowIR_MEX_FF_Costs,202884.00426908463,62907.81923349132,82.36441344511171,27262.713374537492,8453.292564677693,9.855552673035419,638163.4166373708,197873.99701558572,133864.8209693125,41507.185298315795,157.24561591811812,826.0599176549597,1446007.8928846181,448360.64559895155,0.0,22.596231105114487,167.93335731147556,131487.4332203792,40770.03364707247,0.0,1.5633222157714914,294.01452034107973,1883.960682824213,3501366.6301623606,1085661.4341478474,0.0,11.846771603027431,72.04916207127367,74711.07303796316,23165.506291855672,0.0,0.21007277352480513,0.15044378219639015,0.0,0.0011524694087524808,0.00803671680829928,5329.235112333674,51390.02835221114,56719.26346454481
25,26,MEX-CHL_lowIR_MEX_FF_Costs,195795.79307562773,57819.040381994324,79.48682652332649,23293.390297728736,6878.60271715705,8.42063047279984,638029.9336772709,188412.00784103727,134020.4498010167,39576.610290420984,193.49801588960315,1016.5050016796212,1779379.7086271194,525455.7598603442,0.0,25.83334713037501,191.99134112319328,150324.20627430562,44391.15476606853,0.0,1.436860972532941,208.5105777473694,2085.999984423917,3876859.4284207826,1144847.334695258,0.0,9.389012778153859,80.99999999953988,83992.60646576539,24803.249491459876,0.0,0.17094015612406996,0.14058832367846605,0.0,0.0009690689281439612,0.007668757618976205,6214.624017045657,49439.18471508022,55653.80873212588
26,27,MEX-CHL_lowIR_MEX_FF_Costs,191894.00235372715,53968.410254507115,77.90282434753779,24348.176650090896,6847.6990957700655,8.801938903537817,665636.8860569292,187204.2070446462,138825.72614587084,39043.44925126677,238.1082736988192,1250.856501270182,2189609.1736752507,615807.2932582359,0.0,29.534209526086006,219.49585035632936,171859.51872770677,48333.89735517641,0.0,1.3411689632347539,8.063048858675632,2085.9999997778355,3876859.4569562497,1090330.8029732006,0.0,0.5212107584259332,80.99999999984587,83992.60646608267,23622.14237290816,0.0,0.170172170228982,0.13297634735498062,0.0,0.0008941803902678791,0.007267776858948262,6623.488276588074,48649.040823640484,55272.52910022856
27,28,MEX-CHL_lowIR_MEX_FF_Costs,184203.3361492553,49338.55394181372,74.78065996984078,24539.97513533086,6572.991088305997,8.871274631347514,663815.7352915708,177801.92882375387,138560.64722700417,37113.23643933799,293.00326281273743,1539.23687948384,2694415.537157687,721694.6723158085,0.0,33.76525418592816,250.94063118567408,196479.96094133594,52626.827255369164,0.0,1.2261124040080107,10.046319015484263,2085.9999990543165,3876859.4556115796,1038410.2881857376,0.0,0.6199823072508566,80.99999999992207,83992.6064661617,22497.278450409893,0.0,0.1633454015354923,0.1202405170281169,0.0,0.0007983004085474993,0.00702462444064149,6869.606077065061,45608.12766349028,52477.73374055534
28,29,MEX-CHL_lowIR_MEX_FF_Costs,175740.03902474372,44830.16574648927,71.34483216279712,25745.700843057974,6567.564468853405,9.307148091867992,680455.4130297041,173579.84622344622,141433.389952175,36078.75785637633,360.55409030965325,1894.102296106829,3315603.1560962023,845789.2684116664,0.0,38.60243455076598,286.8901634250413,224627.5058681035,57301.04747427381,0.0,1.114074448966004,12.517439289665317,2085.9999980730577,3876859.453787897,988962.1787593019,0.0,0.7374714646291323,80.99999999985002,83992.60646608699,21425.979476561788,0.0,0.16321054461547602,0.10996663864664062,0.0,0.0007060249542266261,0.006616716916134564,6950.839511046133,43442.65622706246,50393.4957381086
29,30,MEX-CHL_lowIR_MEX_FF_Costs,165258.49053971213,40148.942305286655,67.08965888742583,25498.280026674434,6194.713326568777,9.217704724482878,688017.1643062292,167151.23891404414,143118.78691601666,34770.182759916774,443.67851329613177,2330.780632863883,4080003.3020262658,991221.7922568284,0.0,44.13258508393899,327.98979376556076,256807.44311403172,62390.42353273696,0.0,0.9977413652286781,15.596387632220596,2085.9999966785786,3876859.451196238,941868.7410458915,0.0,0.8772252928991475,80.99999999945663,83992.60646567905,20405.694739483548,0.0,0.1539448208785605,0.1004138554355454,0.0,0.0006071582001133039,0.006200927227842761,7872.984121950398,40443.62827181613,48316.612393766525
