,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Discounted_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,,,lcoe,lcue,
20,21,fast_slow_2055,58.00940232,86.8149076,152654.1689,57533.75079,73.61849122,142985.9559,53889.90299,2.899276781,13.09,13.09,0.144003344,22863.87904,8617.155547,7.75E-12,618.8009513,12.85418789,558167.1244,210367.3189,,,0.058259292,0.276315516,
21,22,fast_slow_2055,57.52294887,88.57748016,156092.8489,56028.33629,69.59079396,141786.9087,50893.32829,2.738061062,3.82E-11,13.09,0.137146041,22863.87904,8206.814807,48.78042133,658.037686,12.77807761,593708.8184,213107.2472,,,0.057504995,0.279381573,
22,23,fast_slow_2055,55.85350773,90.47568759,158772.3037,54276.29154,70.66457107,137671.9441,47063.13635,2.531996736,1.46E-12,13.09,0.130615278,22863.87904,7816.014102,56.43555288,687.897137,12.37034657,605280.6803,206915.1225,,,0.057422794,0.276970997,
23,24,fast_slow_2055,54.40665874,91.76309045,161900.1038,52710.02819,77.66352993,134105.6415,43660.9488,2.348959046,1.56E-12,13.09,0.124395502,22863.87904,7443.822954,73.63940264,738.6151299,12.34925468,668318.8011,217585.4248,,,0.055166171,0.281210421,
24,25,fast_slow_2055,53.1824019,93.55966342,164844.3071,51112.92981,76.21578889,131088.0007,40646.18245,2.186764616,2.34E-12,13.09,0.118471907,22863.87904,7089.355194,97.31028872,804.2476389,12.47728444,706270.5198,218991.8242,,,0.055421839,0.289212945,
25,26,fast_slow_2055,52.18073722,95.42187963,167871.4728,49572.91121,79.95022835,128619.022,37981.55369,2.043407588,0,13.09,0.112830388,22863.87904,6751.766852,5.834057547,787.5141107,11.53053011,710348.7569,209767.9568,,,0.05377878,0.276093692,
26,27,fast_slow_2055,51.40166468,96.71823599,170068.0487,47830.06302,79.85377894,126698.7052,35632.83695,1.917046628,9.55E-13,13.09,0.107457512,22863.87904,6430.254145,51.15834998,812.5467829,11.18333436,733113.3166,206181.328,,,0.053204977,0.276140939,
27,28,fast_slow_2055,50.8451843,98.72086847,173241.4544,46402.43235,74.62006193,125327.0503,33568.63974,1.805992818,5.60E-13,13.09,0.102340488,22863.87904,6124.051566,75.62280842,853.724831,11.02508856,751192.4656,201205.6392,,,0.0536883,0.278722929,
28,29,fast_slow_2055,50.51129608,99.97664115,175814.5957,44849.18469,82.76479583,124504.0574,31760.19284,1.708698375,1.58E-12,13.09,0.097467131,22863.87904,5832.430063,70.82748909,899.0329426,10.94855441,813469.1452,207510.8029,,,0.052038114,0.284391344,
29,30,fast_slow_2055,50.4,101.5176223,179110.2882,43514.18559,82.51005633,124229.7264,30181.155,1.623746139,2.80E-12,13.09,0.092825839,22863.87904,5554.695298,110.4493728,968.579911,11.09424173,850583.0843,206646.0311,,,0.052853842,0.294405457,
