,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
12,13,slow_fast_2055,123.25958433083856,73.9275404,248300.94392322,70.79127202883399,152325.9573849623,9.10178092259791,1.532132364101851,126.55533916812334,3.298586833079607,1.0838532680491613e-12,3.3200000000015986,8.083227194100199e-14
13,14,slow_fast_2055,125.19096313999938,75.69076518,253183.208702892,72.82236833847583,154712.78294319485,8.80418907459021,4.513807396464806,131.06914656458815,3.277536406769751,5.368724564252624e-13,3.3200000000021355,1.0405226292388487e-13
14,15,slow_fast_2055,122.18596908000403,77.05336202,258736.09191266,73.98635238609543,150999.16830129892,8.183675844454054,25.595594258874474,154.30374082346265,3.8868556399287666,10.533594225451973,11.492594225454107,0.5223821996866149
15,16,slow_fast_2055,118.95838288000432,78.90921897,263687.442796355,73.47532491412382,147010.4711088964,7.5880962967895975,1.3608289117205187e-11,153.84974082347622,3.7017672761230385,25.881450625911675,36.92004485136578,1.7628243276544255
16,17,slow_fast_2055,115.5082045200044,80.23259323,269384.46855478,75.2022048692737,142746.6913412675,7.017158980486165,8.204023481331271e-12,153.6897408234844,3.5254926439269463,24.487288817112745,61.247333668478525,2.8614380068497534
17,18,slow_fast_2055,111.8354340100044,82.18027049,274876.80018324,76.40613992156214,138207.82901077674,6.470511468044142,7.492369925904e-12,153.5267408234919,3.357612041835407,32.28881582477559,93.3731494932541,4.2681811669257215
18,19,slow_fast_2055,107.94007134000391,83.57353348,280699.00796216994,78.28531452641138,133393.88410506854,5.947748353893761,8.812206331580927e-12,153.52674082350072,3.197725754129218,24.556159970275406,117.92930946352952,5.227909013174978
19,20,slow_fast_2055,103.82211653000385,85.22121469,286162.77679781,78.53824386869452,128304.85664885238,5.448418562026391,1.617775042700531e-11,153.34474082351693,3.045453099171157,36.17426869414897,153.92157815767848,6.679076160481195
20,21,slow_fast_2055,99.48156956000395,87.13830051,291343.793821029,79.22197358516458,122940.74661741544,4.972032001748334,54.76474220048392,141.8435202529661,3.3137130619597785,39.20682509705757,193.12840325473604,8.191667003049792
21,22,slow_fast_2055,94.91843044000389,88.75829995,296599.68059525,81.25911199207638,117301.5540231226,4.518065634246195,3.9402110056678232,141.34376198208824,3.197146998044623,24.27160183172354,217.4000050864596,8.928598469970606
22,23,slow_fast_2055,90.13269917000399,90.17878348,302779.24075635005,79.95712910912744,111387.27886596185,4.085968981136763,0.490654025565094,138.60179548965868,3.009067083121506,50.141186081923024,267.5411911683826,10.820693560881534
23,24,slow_fast_2055,85.12437574000384,91.76309045,308205.32988503005,83.1094651672129,105197.92113358018,3.675169125133656,1.2392361510989172,137.97557112908174,2.874487143803229,29.41429881613327,296.9554899845159,11.65937198328815
24,25,slow_fast_2055,79.89346017000379,93.75065372,313592.963024616,82.21427877058598,98733.48085069198,3.285075241116046,1.530128897184613e-11,133.65864503368812,2.6774752456746658,53.40145186250967,350.35694184702555,13.553930730435788
25,26,slow_fast_2055,74.43995244000352,95.10874414,319363.93325182004,84.35060158855724,91993.95799258167,2.9150826874423075,1.3691480978549086e-11,132.7802202374427,2.5382427317409952,48.42341438000045,398.780356227026,15.123540021252381
26,27,slow_fast_2055,68.76385256000385,97.07851964,324578.56126682996,83.58001571891168,84979.35257161531,2.5645767020972405,8.569808841056535e-12,132.7802202374295,2.4173740302294857,51.436725220986816,450.21708144801283,16.750536392231684
27,28,slow_fast_2055,62.86516052000313,98.39690705,330371.95293078,82.0072239537274,77689.66457541863,2.232935723959097,2.2275576119878598e-12,121.01894977540408,2.1550447939760526,67.01617478287723,517.2332562308901,19.004705017994684
