,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
10,11,USA_maxRE_high,310.0922651837361,1460492.4587421669,896615.6771181466,824601.6236726833,506233.8656638896,77.4232124339839,483.19708141018424,852598.0510856196,523421.2435044831,0.0,3.7673003144102895,49.38046431684771,73979.50456474422,45416.998342675564,0.0,19.43178693350839,0.018074868464865924,0.021672370257862304
11,12,USA_maxRE_high,301.5627803012132,1468934.4847764168,858855.5702736274,801919.8999636031,468865.9570149864,85.1655336773822,567.9862150875664,1002207.9161030089,585970.211903907,0.0,4.115433262681022,53.11949757952873,79581.1495097851,46529.44992006263,0.0,17.997419760020264,0.016341003797624338,0.020955117930115272
12,13,USA_maxRE_high,292.4141229119523,1463103.141095125,814710.5756148867,777591.6641943579,432992.13468637795,93.68208704511902,659.7015021326854,1164038.9328823632,648180.4340443764,0.0,4.49573687417392,55.648434453702656,83369.88458174489,46423.47128425993,0.0,16.6204030899366,0.01473967848425159,0.020400377247334345
13,14,USA_maxRE_high,282.47214193923867,1442796.969841625,765146.0377533488,751153.8114224883,398352.90381593484,103.0502957496302,760.8339978823157,1342486.5520730992,711949.2815185505,0.0,4.911184011921035,58.641818465623686,87854.43265632405,46591.08138647784,0.0,15.29077621297468,0.013217101916682465,0.01998412781156398
14,15,USA_maxRE_high,278.2154059950281,1439885.2529447917,727239.8972532604,739834.2405552134,373666.5654332157,113.35532532459216,872.8019232069078,1540053.2150116293,777831.5248100908,0.0,5.365022258643799,62.61944072426748,93813.52048814441,47382.20275625023,0.0,14.343191114153957,0.011963822575036072,0.019722778093346216
15,16,USA_maxRE_high,276.7241923093005,1451699.4268292082,698292.2455937101,735868.7845778893,353965.46733338543,124.69085785704937,990.7127810639572,1748106.1430578025,840868.9440886622,0.0,5.860799303360772,61.700240027628254,92436.41694985838,44463.49703914783,0.0,13.586964463592029,0.010963436935403704,0.01945741850826363
16,17,USA_maxRE_high,276.1991345823234,1470013.177504125,673429.9740938288,734472.5438366696,336470.334917912,137.1599436427515,1121.8463247067089,1979490.4126305128,906827.3656975487,0.0,6.402390673949785,62.07623070157804,92999.70861113747,42604.238056604896,0.0,12.915413805824041,0.01004385592509614,0.01917855501338962
17,18,USA_maxRE_high,270.322524159693,1456749.3513940417,635574.9166924849,718845.3804396009,313629.85839016427,150.87593800702376,1271.0434627137324,2242747.7748668473,978503.4253210258,0.0,6.994030032452023,67.39146073403006,100962.73791611487,44049.70812492401,0.0,12.038682114306479,0.009009755540866105,0.018941405329454257
18,19,USA_maxRE_high,265.00711901889963,1464750.86388925,608634.2381809726,704710.5818596407,292821.8024663629,165.96353180772257,1435.450394521455,2532842.7175663016,1052448.464679485,0.0,7.640342269938854,73.47520300396891,110077.1163501004,45739.31547171784,0.0,11.23996488767133,0.008080436704483556,0.018467519870824643
19,20,USA_maxRE_high,257.34191960475283,1443234.6822733334,571136.9717196944,684327.1779752017,270811.50203416415,182.55988498849024,1618.0102795099451,2854968.425969475,1129807.9523664983,0.0,8.346379659646523,81.82158266361544,122581.27241003528,48509.57198695922,0.0,10.395099505581396,0.007173342964148765,0.018200711948802285
20,21,USA_maxRE_high,255.07810011584738,1452925.4120857916,547592.307214055,678307.1980019936,255646.84908400525,200.81587348733535,1807.9005529972806,3190028.556347169,1202288.2129517884,0.0,9.117661350990602,89.38264401460586,133908.90127032247,50468.8565518635,0.0,9.813004302089528,0.0065055547663106054,0.017920274212788755
21,22,USA_maxRE_high,252.56690164732132,1462672.6639306669,525015.1846869552,671629.3844380724,241076.23941254924,220.89746083605868,2014.6051057894847,3554757.371237406,1275953.0165568118,0.0,9.960216513187937,97.64241647447892,146283.30646987926,52507.275931795644,0.0,9.25371144985069,0.00589582418871245,0.017625607258137294
22,23,USA_maxRE_high,247.81118622932897,1469465.6426253335,502336.6404976899,658982.9204797454,225273.2264142864,242.98720691965065,2239.155005948746,3950974.1834096108,1350640.0152651456,0.0,10.880631465743479,106.66546732962655,159801.2197005689,54628.026354124384,0.0,8.647112795912388,0.005303216156154616,0.017213780757352803
23,24,USA_maxRE_high,241.62596667317953,1455159.3366177084,473758.12536500714,642535.0994231624,209190.99133946447,267.2859276115957,2482.489937786513,4380337.059610046,1426112.0563272815,0.0,11.88610116422406,116.52233047326708,174568.3115458398,56834.433140718604,0.0,8.029796202565336,0.004745356859971939,0.016949147196955783
24,25,USA_maxRE_high,233.709837684955,1441615.5158625417,446998.7104345428,621484.420158316,192702.3754317135,294.01452037272566,2745.390900956276,4844224.068556593,1502038.4338782595,0.0,12.984485443788035,127.29005777439724,190700.01751592924,59129.95592202894,0.0,7.396880680946323,0.004217460503692166,0.016547879240536422
25,26,USA_maxRE_high,229.448886529673,1437304.0531596253,424439.8706704646,610153.6401436856,180180.06109590916,323.41597240996856,3028.3887859111974,5343571.962939039,1577971.6114223483,0.0,14.184370460130523,139.05282139826966,208322.4404162619,61518.19406176399,0.0,6.916211645166467,0.003800805724263127,0.016294915070634866
26,27,USA_maxRE_high,224.521403238311,1446717.3698472916,406875.8563611441,597050.4086900735,167914.89574234307,355.75756965093166,3331.64121181186,5878658.860722693,1653318.338511446,0.0,15.495135808133002,151.90257178678223,227573.33610292836,64002.8923006677,0.0,6.44541327306984,0.0034188891154180085,0.01584122815915839
27,28,USA_maxRE_high,220.23735934231345,1453266.1616257082,389254.89845137345,585658.2201411859,156867.5697734877,391.3333266159679,3664.805332992828,6466524.746794578,1732047.7832023643,0.0,16.927027842889146,165.93975644226367,248603.19033097054,66587.94662824656,0.0,6.021361665755332,0.0030791876786781117,0.015468942561059467
28,29,USA_maxRE_high,213.13075707351814,1442034.544427875,367853.8368240758,566760.2454813785,144576.9324079516,430.46665927739014,4031.2858662917183,7113177.221473343,1814526.2490689664,0.0,18.491239776262475,181.2741051334438,271576.3951132815,69277.41039165405,0.0,5.549585550479227,0.002735968571542519,0.015086387567389404
29,30,USA_maxRE_high,205.72697802826755,1446253.9492610833,351362.0763329123,547072.0142434599,132909.13323100653,473.51332520450876,4434.4144529198775,7824494.943618891,1900932.2609289594,0.0,20.199999175096693,198.02548766162397,296672.53378580644,72075.50065131013,0.0,5.1017170790721895,0.0024225633459906237,0.01451982846958805
