,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh
10,11,linear_red_2055,111.72413793000045,70.74169449,209207.690211781,67.01773674768457,121471.67389851966,9.095598671534628,24.793856997443857,142.56980806466356,3.384855509968588,110091.6996990719,7.791370852363471,12.020370852363506,0.25771584099578415,4638.261910001903
11,12,linear_red_2055,108.49655171999909,72.52316903,213555.52267588,67.65817780468551,117962.49220470953,8.412225649409086,1.629562436607592e-13,141.78980806466373,3.2236719142558012,109489.38756208488,24.468035584922564,35.708406437286065,0.9970499738615162,14035.690353618
12,13,linear_red_2055,105.2689655199991,74.01983682,218501.05594633,69.73293651490714,114453.31052177343,7.773310832688143,1.1365800164060837e-13,141.66080806466383,3.0701637278626697,109389.77440096786,29.07960626853959,64.65901270582566,1.7817758007638715,24404.805102942533
13,14,linear_red_2055,102.04137930999974,75.69076518,222762.72807644,70.24275575221958,110944.12882796767,7.176169703819244,8.999193258199941e-14,141.6608080646639,2.9239654551073055,109389.77440096793,22.015002430476265,86.6740151363019,2.285584952361611,33561.60493872667
14,15,linear_red_2055,98.81379310000034,77.14956094,227638.373210499,70.67129365046486,107434.94713415958,6.618272603475976,8.795785359035278e-14,139.299808064664,2.784729004864101,107566.62189401072,29.896488869688863,114.2095040059908,2.9255750733205774,45052.453160947596
15,16,linear_red_2055,95.5862069000004,78.65027126,232596.09067457498,71.50404567237527,103925.76545122328,6.097236067286653,9.702213820670828e-14,138.84580806466408,2.652122861775336,107216.04534248236,28.01076958730627,141.76627359329706,3.444975294186013,54702.89685791248
16,17,linear_red_2055,92.3586206900004,80.33276133,236909.57075327,73.24381390016183,100416.5837574144,5.610814636876382,1.0914184243657443e-13,138.6858080646642,2.525831296928893,107092.49413489534,23.32082834280775,164.9271019361048,3.796866027240358,64826.912333943255
17,18,linear_red_2055,89.13103447999956,82.18027049,241992.32950320002,73.88411873913488,96907.40206360497,5.1568931248559675,1.6127371738311312e-13,138.52280806466436,2.4055536161227566,106966.6263421661,37.25276804545872,202.01686998156353,4.39276567638678,76248.9579269796
18,19,linear_red_2055,85.90344828000003,83.67787265,247010.85978051,74.52225514130953,93398.2203806696,4.733479297894538,2.3707055058523476e-13,138.5228080646646,2.291003443926438,106966.62634216627,22.23900584493367,224.2558758264972,4.621227104450894,86835.5653980168
19,20,linear_red_2055,82.67586206999984,85.32761094,251768.62069037597,76.15814272502809,89889.03868686082,4.338696961581814,4.350238459433261e-13,138.34080806466505,2.1819080418347077,106826.0868435363,30.305841031834095,254.37971685833128,4.964817030607843,100345.67944760472
20,21,linear_red_2055,79.4482758599997,87.13830051,256725.45147908997,77.7045430787941,86379.8569930522,3.970779429866008,54.438731928988396,135.71080652317028,1.6561471699291541,104795.21267848856,34.9440270487572,289.3237439070885,5.343331502092838,111640.42420201462
21,22,linear_red_2055,76.2206896599993,88.4670316,261627.65079047,79.47550719814828,82870.67531011642,3.6280633484458713,3.0282575912682312,132.10988698647913,1.5043396420878017,102014.6004460998,27.401705594343184,316.7254495014317,5.545588155618576,124493.383487164
22,23,linear_red_2055,72.99310345000045,90.29136911,266278.52877074,77.67495600385651,79361.49361630906,3.308982858386038,11.80315588653955,138.26461665260035,1.4706696049755,106767.25221248405,45.34720965423167,362.07265915566336,5.997931965343452,136660.1856418691
23,24,linear_red_2055,69.76551724000022,91.87765405,271216.00491759996,78.54232117149124,75852.31192250173,3.0120640854101968,5.932669365276463,138.3977063667365,1.3834473431966696,106870.02343060244,24.54344230594059,386.61610146160393,6.080127887857566,149704.11650827597
24,25,linear_red_2055,66.53793102999985,93.75065372,275914.12679734,81.02443955059941,72343.13022869252,2.7359199283223288,5.508994518984638,138.93622714848703,1.3101919700767315,107285.86651120264,39.55195445782621,426.1680559194301,6.353193775374939,168111.3716858021
25,26,linear_red_2055,63.31034482999943,95.22748469,280979.300917076,81.36877450018166,68833.94854575614,2.47924513786706,1.459899349460599,136.64187883498133,1.221013478857864,105514.18210645841,43.99805667286476,470.1661125922949,6.64498863650985,181421.48842119265
26,27,linear_red_2055,60.08275861999966,97.07851964,286011.16429774,82.70520020829542,65324.7668519492,2.240811665113236,8.192660315200922e-13,131.27020106217563,1.1111866453001171,101366.19913396482,32.425891798761306,502.5920043910562,6.744701554476059,197550.8417107964
27,28,linear_red_2055,56.85517240999773,98.51975278,290544.87802403,81.01826865826031,61815.585158140246,2.01946427108449,11.723604728939236,137.93314545917076,1.1042229157175933,106511.2917985555,62.06685454082915,564.6588589318853,7.180579494761418,213124.03059072682
28,29,linear_red_2055,53.62758621000079,100.3490626,295493.106628089,81.54245415827465,58306.403475206636,1.8141163759975811,14.282793458456188,147.4809811533175,1.1180083145418367,113884.08323515006,29.800537937354616,594.45939686924,7.184226751870569,230184.4606882995
29,30,linear_red_2055,50.40000000000188,101.6443641,300046.60702388,83.72115841469005,54797.22178139966,1.62374613891625,17.469392761812212,150.44135658717167,1.075735640260004,116170.07048367441,45.577306895984876,640.0367037652248,7.344748392056197,252476.56811606104
