,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
11,12,fast_slow_2055,86.45992866000218,72.52316903,159302.31803232,65.3841676344968,70064.53543309458,6.703627147494714,6.695035239702151e-12,135.47311428068184,3.6161047418509975,24.581827127693952,126.64365235477081,6.252339709628293
12,13,fast_slow_2055,82.56456599000289,74.01983682,162830.42616598,67.231971273275,66907.85024902277,6.096763961115916,6.890670568772315e-12,135.34411428068873,3.4439092779535403,43.34120633723228,169.8558586920031,8.18209055399689
13,14,fast_slow_2055,78.89179548000227,75.40985705,166011.489487202,65.8909430564166,63931.54708148695,5.548150333048429,7.709361966857017e-12,135.34411428069643,3.2799135980512224,22.80229072024898,192.65814941225207,8.942160286670733
14,15,fast_slow_2055,75.44161712000214,77.30705207,169784.46426244,69.0316902986102,61135.62592238738,5.052869362498267,1.0728769132260052e-11,132.98311428070718,3.1237272362395805,32.418930049344695,222.71607946159676,10.12406330887808
15,16,fast_slow_2055,72.21403092000207,78.74846388,173304.36345117,68.5454893297249,58520.08677982665,4.6063758377840625,1.5797599910416217e-11,132.52911428072298,2.974978320228641,35.02719139943115,257.28927086102794,11.354408375875561
16,17,fast_slow_2055,69.20903686000261,80.19800617,176531.90120997,71.28799057156203,56084.92963759845,4.204470293266982,2.6727591747446256e-11,132.3691142807497,2.8333126859328295,15.412256758633879,272.5415276196618,11.558022007812356
17,18,fast_slow_2055,66.42663496000243,82.18027049,180514.83077064,71.15058595856544,53830.1545119044,3.843274782246813,7.907383283605088e-11,132.20611428082876,2.69839303422407,58.00092531653926,330.3794529362011,13.77935981260346
18,19,fast_slow_2055,63.86682521000229,83.67787265,184076.38073638,71.59474144842129,51755.76139464818,3.51921024134463,5.953850301046509e-11,132.20611428088827,2.569898127834194,19.039902769664618,349.41935570586566,14.024925609855893
19,20,fast_slow_2055,61.529607610002344,85.50179653,187782.05000821,73.23497572603293,49861.750285825,3.228975361137579,3.8534440407324e-10,132.02411428127365,2.4475220265200295,30.332854873942605,379.5702105798083,14.782652936307255
20,21,fast_slow_2055,59.41498216000209,86.96078101,191255.45919656,75.6953625163603,48148.12118543864,2.969526857984015,65.1583008559027,130.8673696572794,3.046754365024762,37.92046587017339,417.49067644998166,15.849296583553459
21,22,fast_slow_2055,57.522948870002416,88.57748016,194935.4064808,77.43040071036353,46614.87410158958,2.7380610621699217,6.476056027264874,133.1331727170633,3.020589011760206,9.469853256973877,426.9605297069555,15.534284820782297
22,23,fast_slow_2055,55.85350773000212,90.13990877,198416.02340465703,76.224208917647,45262.009026173386,2.5319967356355493,6.353358985757132,136.49438192355734,3.015198144687771,59.86293954273935,486.82346924969494,17.561112613119462
23,24,fast_slow_2055,54.406658740002136,91.87765405,202114.43588920002,75.94809318910409,44089.52595919244,2.3489590456869758,1.2633727009691302,133.9683533557414,2.8528737084752014,10.699208214287863,497.5226774639828,17.217357117659894
24,25,fast_slow_2055,53.18240190000226,93.40272064,205621.988721926,76.88479571533203,43097.42490064676,2.186764615940055,6.647263323717475,137.78918637107853,2.870602775003808,37.991263158572316,535.5139406225551,18.140314617557056
25,26,fast_slow_2055,52.180737220002456,95.42187963,209568.88507900998,79.8791778083374,42285.70585864047,2.0434075882920917,5.882985465789096,141.00184490687468,2.8688660202250853,29.632575735463266,565.1465163580181,18.631974443366644
26,27,fast_slow_2055,51.40166468000306,96.88074977,213072.74463020999,81.35823718184538,41654.368816963266,1.9170466281295138,0.5818004895175685,129.56578008921056,2.594162303694439,6.1896240716449835,571.336140429662,18.02718300796335
27,28,fast_slow_2055,50.84518430000485,98.35448964,216497.963933171,81.155795212386,41203.413791826904,1.8059928182103269,49.22973936364283,141.5928772131795,3.4311112844772396,58.407122786821276,625.5405681314121,19.734414680029282
28,29,fast_slow_2055,50.51129608000307,100.3490626,220423.87974155002,80.98058369079999,40932.84078322439,1.7086983746157802,0.1750490426392985,141.76792625581427,3.2727938765989593,31.04684500741287,625.3774971684256,19.53230094175288
29,30,fast_slow_2055,50.40000000000459,101.6443641,223599.45438124,83.46095550540419,40842.649774957776,1.6237461389163375,2.4590516131377407,144.2269778689449,3.1881276073775338,55.77302213104979,649.9643019263082,20.482165607454867
