,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
10,11,MEX-CHL,351222.1679805138,215619.94386055626,142.58496109071322,19456.021049590367,11944.309183511517,7.033409977490055,467041.73056302086,286723.10834925075,106735.79417421001,65526.51867074607,3.549733474976837e-15,64.36299999999999,112666.65289116134,69167.55144196023,2.3809360346127746,9.502319059623001e-15,4.047000000000016,3290.6759665058767,2020.1895889460047,1.1046622820291341e-15,19.942688607662845,0.0,3.8069999999999995,6954.690141398556,4269.576452073829,0.0,1.3470807341158789e-12,21.3397303306735,85563.33304013073,52528.46417045819,1.1383368077173284,0.7548803403979266,0.06811092512195652,0.06874909136246185
11,12,MEX-CHL,368301.06094391673,215338.00248246986,149.51844510927992,19771.6926028868,11560.099175091425,7.147526191021415,482258.77962185425,281966.72042499855,112079.27607091668,65530.4314544661,8.051227791721524e-15,63.58299999999999,111301.27232693802,65075.54877853008,2.2675581282026425,1.739439997782741e-14,3.267000000000033,2656.446351019216,1553.1691640101756,2.154465615164833e-15,19.916611849603626,0.0,3.6779999999999995,6719.030822186471,3928.478164465846,0.0,1.5158680729772942,22.726598403650794,91124.09003996557,53278.36818321557,1.1652936645740128,0.7305982678657807,0.06865626042819366,0.06929571013749962
12,13,MEX-CHL,375058.05951517523,208846.36152711554,152.2615703052566,17823.53537857784,9924.81142300367,6.443261509962013,488625.7698542333,272085.11214065354,111173.78134071667,61905.721370801184,7.657120661643962e-15,63.454,111075.45938747033,61850.97202820532,2.1595791697168023,3.056011667607234e-14,3.138000000000064,2551.5545299964447,1420.801036822476,3.8584935195510966e-15,19.316199977642906,0.0,3.4149999999999996,6238.578101622294,3473.873723206417,0.0,0.5568360956931767,23.02043449934397,92302.24905722686,51397.34605700826,1.1376138101079567,0.6272480819338307,0.06898089602298776,0.06958466732472293
13,14,MEX-CHL,394593.43705203786,209261.32449320573,160.19230845314186,18752.521283545488,9944.862415094474,6.7790927015655775,508220.45096948347,269520.15598369716,112974.79703528751,59912.94695263169,8.187056575632823e-15,63.454000000000015,111075.45938747036,58905.687645909835,2.056742066396955,5.8345880123788e-14,3.1380000000001225,2551.5545299964924,1353.1438445928595,6.890714819040325e-15,19.35457990237661,0.0,3.0249999999999995,5526.119694702031,2930.6192603219433,0.0,1.0714488901802792,23.701883389524248,95034.57216707012,50398.862669638336,1.1333345630796294,0.6285153046339739,0.06963207569113886,0.07034257222464364
14,15,MEX-CHL,401646.8401848912,202858.94739930116,163.05576441617993,18594.872884326982,9391.674383898902,6.72210233230287,509221.18790452083,257191.30299688264,113159.62907680168,57153.30221955238,8.438417391232083e-15,61.09300000000002,106942.55744884054,54013.25857879154,1.9588019679970998,1.401598964618872e-13,0.7770000000002626,631.7902708119399,319.09701880147077,1.3762247995585012e-14,18.762424044961364,0.0,2.7179999999999995,4965.287051305825,2507.8073670381873,0.0,0.6104695834831252,24.005352973007376,96251.35741396676,48613.47606211222,1.1058585000936567,0.5935538210624116,0.0705707826421849,0.07132502979867368
15,16,MEX-CHL,426511.28069164767,205159.21854135953,173.14993159982686,20533.239758736167,9876.839403153399,7.422827772502389,533169.7841134876,256463.78234405874,117662.3769139529,56597.615097635564,9.09507346443251e-15,60.63900000000003,106147.83594094646,51058.92401295043,1.865525683806762,0.30503852956254013,0.6280385295628027,510.667480917222,245.63978976022793,0.014595606066291528,18.975176122890346,0.0,2.4239999999999995,4428.203021473627,2130.041367146909,0.0,0.9315130086269383,24.642865981634316,98807.5161389979,47528.104682757454,1.090853584191789,0.6242162502792938,0.07142549132256337,0.0720956573748064
16,17,MEX-CHL,423782.1809037125,194139.49988663456,172.0420044171183,20918.114683125626,9582.829354677333,7.561961212293943,539123.5874406751,246978.72718391134,121753.03351477502,55776.46749052352,9.594935964521523e-15,60.165000000000035,105318.10467499538,48247.437225911715,1.776691127435012,12.022004013783002,12.327042543345804,10023.301861992428,4591.790071376585,0.549456601510277,17.95596234451482,0.0,1.5769999999999995,2880.889506957058,1319.768676721152,0.0,2.689707379307794,26.485573360942105,106195.99681555961,48649.609730569886,1.1401359091565255,0.6056348152156057,0.07186185238276391,0.07275806058924844
17,18,MEX-CHL,415249.44529013877,181171.95751233338,168.57798680554703,20209.8012840537,8817.469357506276,7.305903793589237,548695.5857853708,239394.06658485616,121064.52021838333,52820.04915847829,1.1604845437538685e-14,60.00000000000004,105029.2741710251,45823.9244229908,1.6920867880333446,22.62111375789181,34.94815630123762,28416.86632423353,12398.184649543602,1.4610138349132216,16.75659435031571,0.0,0.8929999999999998,1631.3470702045995,711.7513230739431,0.0,1.0768739488894108,26.87844730983152,107771.25592196443,47020.24197841505,1.1235567467401724,0.5572640633943946,0.07295484999641891,0.07388594397116947
18,19,MEX-CHL,409654.3460778633,170219.84215158428,166.30655556853804,18553.56480939556,7709.389399726331,6.707169339290908,557320.5149268375,231578.18533348237,122576.23604638335,50932.95787318439,1.4747683573697147e-14,60.00000000000006,105029.27417102511,43641.832783800775,1.6115112266984233,18.200089605876776,53.148245907114394,43215.63021212873,17956.986966254713,2.0931007622817885,15.743633200600026,0.0,0.18399999999999928,336.13422275212224,139.67071236133424,0.0,2.2771593473718124,28.446606657203336,114058.91459524691,47393.83488609131,1.1442213403496857,0.48723341006270277,0.07343268171345285,0.07461546366180712
19,20,MEX-CHL,422372.61262950447,167147.18533133465,171.46976480397464,20642.11712621892,8168.7866915597815,7.462187267479508,578237.6129490834,228828.25866820314,124517.65061733333,49275.86259721409,2.4964747735765147e-14,60.000000000000085,105029.27417102516,41563.65027028646,1.5347725968556414,10.099070469042594,63.24731637615699,51427.3348023258,20351.542700144488,2.355318314575373,15.459443171295138,0.0,0.0,0.0,0.0,0.0,0.031265718936705496,28.293872376140037,113446.51444047647,44894.63806927633,1.0906811278170327,0.5162673189065775,0.07428063049163804,0.0753548075235077
