,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
10,11,MEX_2042_low-WECC_2040_low,386484.04229434184,237267.67584650376,156.9001536821495,986894.9111207456,605867.8657889552,371.1228182218675,467086.6593182209,286750.69070753315,1460492.4587421669,896615.6771181466,6.63899524408564,36.181656633184865,63335.55224147764,38882.534941366255,0.7796380559336704,3.467453149480386,25.373373925269597,19866.689161621467,12196.42378029397,1.543867930311025,5.896339012461468,35.668951251499394,236.69770582153515,417651.53483732266,256401.81259827246,6.522921696220946,2.445361876337651,43.37093087284075,64976.30232670425,39889.813164435,1.273668371281197,23.256238028309035,0.009120420179141943,0.03506595655072687,0.03302533150282158,0.03322458753284336,2729.6024290670916,139.46873828414815,2869.0711673512396
11,12,MEX_2042_low-WECC_2040_low,385872.74522921484,225611.80235844926,156.65198663521383,938933.6084335049,548975.034678265,353.0869223850277,482305.1721611917,281993.8451819173,1468934.4847764168,858855.5702736274,8.169591245775038,43.5712478789599,76270.9423242162,44594.04033607539,0.9043543395529213,3.9641974120440935,28.55757133731369,22359.83258041288,13073.331017207562,1.7215896708969154,5.60667890040982,41.00236320781651,277.32366902935166,489335.77794858575,286104.49477553787,7.183247065960907,2.5583487605468687,45.55287963338762,68245.19601824944,39901.55269151464,1.343037385203988,21.07240670612518,0.008676713853915184,0.03339614909593035,0.03269851204820572,0.03319753371305065,2520.3993230982096,345.56677380211255,2865.966096900322
12,13,MEX_2042_low-WECC_2040_low,371071.4791365873,206626.4844017453,150.64314624212204,892576.6517128645,497020.078265362,335.654342453274,488672.77495816664,272111.286341369,1463103.141095125,814710.5756148867,10.053060541427769,53.49530842038767,93642.89024914066,52143.86523701603,1.0457063256841463,4.5321048170505165,32.96067615436421,25807.348665739773,14370.497401038614,1.9075335155328974,5.134874763867771,47.133255384261766,322.4901244136134,569031.6894443283,316858.1368113945,7.874715144855973,2.6765561547046657,46.26263578809228,69308.51952914066,38593.57707231563,1.405967070274141,19.078115704215893,0.008243766035200299,0.03180585628183842,0.032415202953869404,0.03357216432973856,2331.1203224692385,527.9887923083137,2859.1091147775523
13,14,MEX_2042_low-WECC_2040_low,365420.69608565,193790.3971018856,148.34910914849908,846340.2814547449,448832.321166599,318.2671091813378,508269.34102831664,269546.0834257307,1442796.969841625,765146.0377533488,12.370756774627866,65.86606519501554,115297.75033223156,61144.85868255299,1.2058800977650397,5.181370133164297,38.1420462875285,29864.226169301433,15837.636758080485,2.1022898622985924,4.815885158378955,54.180871279500614,374.75319569311404,661249.5327032465,350674.7452967555,8.598984338942174,2.8002252702075148,47.1450610582998,70630.5278417091,37456.87692180525,1.4627850340521578,17.22842864797987,0.007741781277816218,0.03029129169698897,0.032004249621889594,0.03426360893904563,2151.803374561794,667.4575296876301,2819.260904249424
14,15,MEX_2042_low-WECC_2040_low,343322.17779807973,173401.0295584396,139.37781787633082,823942.659391639,416147.0323646189,309.84446100688507,509270.1742509625,257216.04443060467,1439885.2529447917,727239.8972532604,15.222789373082446,78.72785456809798,137812.15703882245,69604.504053495,1.3873144076129893,5.923648622566203,41.70469491009471,32653.687002734907,16492.33085222769,2.3064637984152814,4.309188985556782,62.28228431652161,435.6480800096357,768698.1529180629,388244.8025657621,9.357667298615617,2.9296084635198136,48.687269521819616,72940.99250916718,36840.15777606652,1.5138031730930979,15.97380383731588,0.007112590573925547,0.02884884923522759,0.03169188399239711,0.03543500675180144,2042.2207953500972,677.4195825023804,2719.6403778524777
15,16,MEX_2042_low-WECC_2040_low,334626.90209690994,160961.26138982674,135.8478141904783,816630.4154459925,392813.1926506545,307.0946843588804,533221.0742550668,256488.45377912186,1451699.4268292082,698292.2455937101,18.732347625855162,97.00620219395314,169808.18344197652,81680.63963135864,1.5927232786998649,6.7722652699588055,48.02296018005351,37600.72370856023,18086.591004411977,2.5206742573522387,4.000048306798583,71.59506386807941,500.4631438777151,883063.9039975969,424768.836529807,10.152311170812474,3.064969751126807,44.972239272946425,67375.30775798296,32408.675020730978,1.5593184216155604,15.078134399895344,0.0065257677346098825,0.02747509450974056,0.031454584395500834,0.03659186944223701,1982.448479435937,637.5713720122975,2620.0198514482345
16,17,MEX_2042_low-WECC_2040_low,314098.67184988747,143892.22061662926,127.51400961355513,809789.5384740714,370973.9179630703,304.5221657327124,539175.450283375,247002.48614971535,1470013.177504125,673429.9740938288,23.051021660744947,119.5832238546981,209328.98674150242,95896.02071306728,1.8251188956746247,7.742453985533906,55.442414165587415,43409.962421302276,19886.60395441227,2.7455528544387695,3.5758655745438532,82.30033992049054,576.7370837982056,1017648.7660067845,466196.6250480382,10.984374336452749,3.20658534828084,42.15242462122726,63150.7931896293,28930.10598306522,1.5996134645174056,14.239833841012416,0.005517516275515718,0.026166756675943394,0.031091495078270952,0.038027823606231595,1927.4974387724576,398.482108532762,2325.9795473052195
17,18,MEX_2042_low-WECC_2040_low,302862.21484451083,132137.78113914782,122.95236763599657,787438.2897432587,343556.71751294215,296.11695629624217,548748.3695133375,239417.0959505278,1456749.3513940417,635574.9166924849,28.365350153482204,147.78357400818032,258693.3585413189,112867.05543850527,2.087834211060034,8.851631075944924,64.29404524153234,50340.55839474566,21963.418880108457,2.981742350654833,3.2837559990889673,94.60632598231649,669.664609780522,1181618.7703650545,515536.35552908725,11.8551991562619,3.3547442326402064,43.828368853867474,65661.61453819572,28647.94492619569,1.634957416436007,13.187424601734278,0.004793766426371595,0.02492072064375561,0.030363165022726752,0.04006965516908153,1872.865900819133,249.05131895733066,2121.9172197764638
18,19,MEX_2042_low-WECC_2040_low,293764.8200566214,122065.35040695564,119.25911646874647,770314.8993557649,320081.7514344867,289.6776882176344,557374.1283655042,231600.46282462685,1464750.86388925,608634.2381809726,34.904877587263115,182.68845159544344,319793.92450829764,132880.98093433026,2.384544497009761,10.119707892488233,74.41375313402057,58264.02539990607,24209.905989384635,3.229894691677379,3.033446022963253,108.75236875715424,776.8603785376763,1370764.9946349598,569581.1682401403,12.765980168500374,3.5097487339505378,45.78151758781801,68587.7307195217,28499.61878445024,1.6656064683529417,12.286338028812754,0.004265412560557152,0.02373401966071963,0.029560890570844083,0.04212371765552904,1833.017690342576,149.4307926501628,1982.448482992739
19,20,MEX_2042_low-WECC_2040_low,288918.7770458943,114334.97089678314,117.29177807976762,743589.8593761311,294263.757448371,279.6277102082537,578293.2385530584,228850.27160857557,1443234.6822733334,571136.9717196944,42.952069083915724,225.64052067935916,394981.0018420875,156307.39480537016,2.7192868055720734,11.569448268985582,85.98320140300615,67322.60126011084,26641.839393317798,3.4906685614243456,2.8413383617559567,125.01360334511605,901.8739818827924,1591350.6700702715,629751.4976680067,13.717727164171446,3.671915150972302,49.45343273879031,74088.8224453852,29319.462877016314,1.691804503874169,11.295314329655724,0.003939816340588155,0.022603828248304404,0.028611979804898574,0.04472906745634117,1773.2453744697746,149.43079286941023,1922.6761673391848
