,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_payments_BUSD_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_payments_BUSD_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,Annual_NPV_OPEX_PP_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_payments_BUSD_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_payments_BUSD_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,Annual_NPV_OPEX_PP_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
10,11,CHL-WECC,75818.97644627301,46546.274510261646,30.78007822994039,62659.28865394774,38467.367762094626,22.651520826268037,467041.73056302086,286723.10834925075,106735.79417421001,65526.51867074607,1.040261691069111e-13,34.388857018850906,0.722133543305458,62822.12894220304,38567.33757326495,1.600946578178282e-13,97.923378770069,7.2283098786664866,392631.51596976357,241041.69141163808,4.305064929454075,5.23146514761707e-13,25.388220749694344,0.6145252106321641,43934.89631444453,26972.215140376546,8.355418453295686e-15,3.807000000000057,3.512549263446927e-15,6643.557196828536,4078.567813789132,2.4311376425643765,0.03867120991252171,0.04343843124567434
11,12,CHL-WECC,75741.49839449929,44284.485435637376,30.748624620217942,66168.17129817331,38687.15935476558,23.919992428803535,482258.77962185425,281966.72042499855,112079.27607091668,65530.4314544661,1.8368388816068404,35.44569590045775,0.724134527711393,64752.77957287229,37859.60912703775,5.232356057493356,102.37573482756235,7.215716100809367,410483.58899305586,240001.2529941092,4.09587205794208,0.37139188303536164,25.630612632729704,0.5920817888199099,44354.36100846999,25933.07626231543,1.1114837632280319e-14,3.678000000000068,3.940401244952738e-15,6418.4406015065515,3752.7292879323754,2.4450284712211827,0.03859699395781453,0.04337541434507126
12,13,CHL-WECC,76013.91386342549,42327.39154128123,30.85921658330702,66273.91992126584,36903.798461463986,23.958220873297364,488625.7698542333,272085.11214065354,111173.78134071667,61905.721370801184,3.8352502120288867,39.151946112486634,0.7600069573986155,71523.41834648761,39826.91561129164,1.5843151120521783,103.83104993961454,6.965770481375814,416318.7897983758,231821.8800501336,3.9148604436530876,0.5363472637015424,25.903959896431246,0.5730072879892754,44827.394696295836,24961.570726311787,1.538408586472998e-14,3.4150000000000835,4.521097533350941e-15,5959.481961431485,3318.462549079245,2.3323200627645235,0.038363657839936866,0.04355198937722476
13,14,CHL-WECC,78322.92716568596,41536.32052099961,31.7966020955991,67774.9089774517,35942.48126878408,24.500832920075755,508220.45096948347,269520.15598369716,112974.79703528751,59912.94695263169,1.7578001752975254e-13,39.15194611248681,0.7238161499034462,71523.41834648795,37930.395820277925,5.265627467568156,109.0966774071827,6.92430257040915,437431.73872937454,231979.39049808148,3.8416942849872404,1.124564010631526,26.638523907062773,0.5634135509741579,46098.57450687028,24447.05829530619,2.3759581145115253e-14,3.025000000000107,5.412190289689436e-15,5278.896905806863,2799.511737004762,2.2715648161871567,0.0382366445358838,0.043483157110746636
14,15,CHL-WECC,77089.4210668759,38935.39609585662,31.295838091677354,68353.52664850195,34523.17578438351,24.710004944013434,509221.18790452083,257191.30299688264,113159.62907680168,57153.30221955238,6.341434675765323e-14,36.79094611248688,0.6893487141937593,67210.30475997849,33945.771045327296,5.085699146434946,111.82137655361764,6.855813490188609,448356.6350091305,226450.5678560204,3.601134784905764,0.5854945674042591,26.91701847446703,0.5450997934444447,46580.51572140732,23526.325724886763,4.0938361184440405e-14,2.7180000000001483,6.9310489536346615e-15,4743.154310738291,2395.6152384664583,2.1818647095730404,0.038560739594610954,0.044133925831981426
15,16,CHL-WECC,80150.04807428738,38553.543536545454,32.538354716622194,72176.26674070678,34718.01837865457,26.091936955565735,533169.7841134876,256463.78234405874,117662.3769139529,56597.615097635564,4.405182548050103e-14,36.33694611248692,0.656522584946438,66380.93010166625,31930.362366083016,5.402206440833034,116.76958299445066,6.7878331244443455,468196.85928036924,225210.69458634945,3.5658172416950786,0.10303541304567095,26.726053887512705,0.5205267354894334,46250.04713874107,22247.0634612478,1.0834428150888819e-13,2.4240000000002566,1.0980653668068359e-14,4230.097884190658,2034.7494088941423,2.19417876153097,0.03869493631705241,0.04384085217872461
16,17,CHL-WECC,79599.07186786084,36465.25196248856,32.314676008051656,77047.31023441437,35296.26055683114,27.852833791671518,539123.5874406751,246978.72718391134,121753.03351477502,55776.46749052352,4.135318653724916e-14,35.86294611248696,0.6252596047108939,65515.019114794,30013.185119973943,3.0243822527537736,119.47096524720445,6.599333103300922,479028.26463458,219448.36738864658,3.3726711540105585,1.1250449591319873e-13,25.879053887512814,0.4957397480851762,44784.294278577465,20516.201213269873,4.674828927463534e-13,1.577000000000724,2.8051587743673535e-14,2752.006750565604,1260.726001032216,2.230723667191729,0.038844686818212765,0.04400825324112725
17,18,CHL-WECC,82307.55722926055,35910.51458446743,33.414234393248364,76952.5216804466,33574.13031248152,27.818567445046465,548695.5857853708,239394.06658485616,121064.52021838333,52820.04915847829,3.910459962908498e-14,35.697946112486996,0.5954853378198994,65213.59440417397,28452.47522573903,3.778768408277448,123.24973365548189,6.441721903648061,494179.53481413925,215608.8941244832,3.321363493917385,4.359264326019287e-14,25.19505388751286,0.472133093414454,43600.61664415955,19022.804619637616,1.001574422652007,1.8945744226527308,0.03507597153017219,3306.2026636568507,1442.4852707236766,2.1218850357488304,0.03888390804501335,0.044445713387393254
18,19,CHL-WECC,77378.18148424447,32152.23264278821,31.413065580795728,70298.91269360467,29210.650238918624,25.413267835476155,557320.5149268375,231578.18533348237,122576.23604638335,50932.95787318439,2.982378443253655e-14,35.697946112487024,0.5671288931618093,65213.594404174015,27097.595453084814,6.083585826506925,129.3333194819888,6.369510704273476,518572.152344241,215477.4403381192,2.9737599971314777,2.8574832987986373e-14,24.486053887512888,0.44965056515662316,42373.675938308195,17607.13757502833,6.4263254884804875,7.611899911133218,0.24271171759398863,13283.449549815294,5519.547655838423,1.8461130950996556,0.03806243422195417,0.0440650759156436
19,20,CHL-WECC,80953.69556844907,32036.12628242363,32.86460988253212,58309.561284386014,23075.07341897496,21.079081332989386,578237.6129490834,228828.25866820314,124517.65061733333,49275.86259721409,3.159347377954834e-14,35.69794611248706,0.5401227553921994,65213.59440417408,25807.233764842702,5.047057673040133,134.38037715502895,6.2470563986440855,538808.7284330379,213224.91017791588,2.963021319861359,2.639035577450029e-14,24.302053887512912,0.42823863348249835,42055.25973255837,16642.694347328325,9.413387770134248,16.841287681267467,0.5161287716530201,29389.560803452212,11630.447191731591,1.4583446400792164,0.03769321073085434,0.04369914571497441
