,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
10,11,slow_fast_2055,117.29610646046487,70.71119881,180421.10420310003,67.65438214373147,110103.34782773486,9.549219442323462,15.300846187715269,122.47210555072247,3.4630906740303358,6.561870598694786e-15,4.229000000000006,3.5354759740015406e-16
11,12,slow_fast_2055,118.89385626560399,72.37542371,182794.93219122,69.43795977410684,111603.12141652152,9.218375435708081,2.633036019391924,124.3251415701144,3.379209080066222,1.1226945358773958e-14,3.4490000000000176,9.265533491904008e-16
12,13,slow_fast_2055,123.15874826368572,73.89567136,189030.98700375098,70.97731454804101,115606.48436932999,9.094334947525837,3.745019345881425,127.94116091599582,3.3322224280395982,2.0833304049084796e-14,3.3200000000000385,1.9531401988666175e-15
13,14,slow_fast_2055,125.19096313999945,75.69076518,193152.74723732,72.65753227446986,117514.08103335866,8.804189074590216,6.1263845202643,134.0675454362601,3.358165872557967,5.0878657915803565e-14,3.3200000000000895,4.425439012139803e-15
14,15,slow_fast_2055,122.18596907999918,77.14956094,197260.7742668,73.59153733190561,114693.35734360482,8.183675844453731,21.770285912663716,153.47683134892384,3.849256314853648,12.78405726218652,13.743057262186609,0.6339872042349222
15,16,slow_fast_2055,118.95838287999955,78.61636632,200591.30460421,73.51686603429891,111663.69117013869,7.588096296789293,3.023306668593748e-13,153.02283134892414,3.665958395098721,23.95659918604903,37.24565644823564,1.7750108033132457
16,17,slow_fast_2055,115.50820451999947,80.49675056,203332.58563287,75.24006680417116,108425.08249418205,7.017158980485865,1.957205545930505e-13,152.86283134892435,3.4913889477130735,22.15721706132339,59.242873509559026,2.7605186795977184
17,18,slow_fast_2055,111.83543401000061,82.01285156,207135.69430625002,76.31525434962087,104977.53132512317,6.470511468043922,1.9051465441669546e-13,152.6998313489245,3.325132331155314,28.881890276729276,87.9617637862883,4.009259032840189
18,19,slow_fast_2055,107.94007133999966,83.5375062,213695.56509806198,77.16609785565352,101321.03765357197,5.9477483538935285,1.974959588176695e-13,152.69983134892473,3.1667926963384003,30.599890786419632,118.56165457270795,5.267546324104864
19,20,slow_fast_2055,103.82211652999976,85.32761094,218170.9188701,78.16958464201119,97455.60149830545,5.448418562026175,3.614710007605094e-13,152.51783134892509,3.01599304413182,35.28966561693469,153.66932018964263,6.675251480420509
20,21,slow_fast_2055,99.48156956000048,87.13830051,222502.949983549,78.86026048775331,93381.22284054919,4.972032001748161,54.110710261030235,140.93572173925315,3.2768166828840815,38.37790270459626,192.04722289423887,8.149320469459234
21,22,slow_fast_2055,94.91843043999951,88.42889481,225628.17646861,81.15626888368027,89097.90168968833,4.518065634245987,2.368567938636664,138.10937167362357,3.103708407734482,31.92996551368488,223.97718840792376,9.243871624266205
22,23,slow_fast_2055,90.13269916999973,90.47568759,228539.107058407,81.07781908290431,84605.63804572294,4.085968981136569,1.7951730453515338,137.24909035208367,2.96697477894136,41.23833466525114,265.21552307317495,10.709509933176598
23,24,slow_fast_2055,85.12437574000016,91.72353277,234636.07019565802,81.31718456129938,79904.43189926936,3.675169125133496,5.989754342741037e-13,134.75674728250632,2.789218741678348,32.69579081259814,297.91131388577304,11.70453093595319
24,25,slow_fast_2055,79.89346017000057,93.75065372,239239.17637701,82.08177402428814,74994.28326909948,3.2850752411159143,1.898971592170676e-13,133.3092328128963,2.636236005598204,60.90143101399527,358.8127448997683,13.94099733594417
25,26,slow_fast_2055,74.43995243999963,95.22748469,243483.52902905998,82.54770025495796,69875.19213643757,2.9150826874421547,7.306169039835816e-14,130.6733172922332,2.4754913155615834,37.58310109527439,396.3958459950427,14.996305913755913
26,27,slow_fast_2055,68.76385256000032,97.07851964,247884.76334438002,83.51309917232683,64547.1585106742,2.564576702097109,5.497749280899181e-14,129.66379338844558,2.3445943141415904,58.41914226066007,454.81498825570276,16.947983289575273
27,28,slow_fast_2055,62.865160519997595,98.72086847,249366.207971511,83.64626946374058,59010.18238241735,2.2329357239589003,3.669310691295236e-14,128.43411071973938,2.217554989741526,61.56003679155511,516.3750250472579,18.94428557501893
