,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
16,17,CHL-WECC,79599.07186861995,36465.25196283632,32.31467600835986,77047.3102347642,35296.2605569914,27.852833791797952,539123.5874406751,246978.72718391134,121753.03351477502,55776.46749052352,5.477463698930609e-13,35.86294611283722,65515.019115433875,30013.18512026708,0.6252596047162337,3.0243822521803567,119.47096524651278,479028.26463180664,219448.36738737609,6.599333103269437,3.3726711540427257,1.4744234527786874e-12,25.87905388715982,44784.2942779666,20516.201212990025,0.49573974806577964,6.201544275283174e-12,1.5770000000095419,2752.006750580992,1260.7260010392656,3.6922864236263803e-13,2.2307236672018558,0.03884468681828833,0.044008253241117644
17,18,CHL-WECC,82307.55722908236,35910.51458438969,33.41423439317633,76952.52167972301,33574.13031216582,27.818567444784865,548695.5857853708,239394.06658485616,121064.52021838333,52820.04915847829,5.255040159503983e-13,35.69794611283775,65213.59440481472,28452.47522601859,0.5954853378249909,3.778768408985903,123.24973365549866,494179.53481420636,215608.89412451247,6.441721903647444,3.3213634939102246,5.798961402546746e-13,25.1950538871604,43600.61664354962,19022.804619371505,0.47213309339598714,1.001574423356896,1.8945744233664379,3306.2026649023337,1442.4852712670768,0.035075971555182925,2.1218850357288765,0.03888390804494274,0.044445713387338166
18,19,CHL-WECC,77378.18148465046,32152.232642956908,31.413065580960573,70298.9126928193,29210.65023859229,25.413267835192283,557320.5149268375,231578.18533348237,122576.23604638335,50932.95787318439,4.0545263681783884e-13,35.69794611283815,65213.59440481547,27097.59545335135,0.5671288931666625,6.083585826034281,129.33331948153295,518572.1523424131,215477.44033735964,6.369510704254666,2.973759997147083,3.7597057481301093e-13,24.48605388716078,42373.67593769886,17607.13757477514,0.44965056513903934,6.426325488529876,7.611899911896314,13283.449551146965,5519.54765639176,0.24271171761941696,1.8461130950790339,0.03806243422196094,0.04406507591560421
19,20,CHL-WECC,80953.69556828967,32036.126282360547,32.864609882467214,58309.56128316625,23075.07341849226,21.079081332548444,578237.6129490834,228828.25866820314,124517.65061733333,49275.86259721409,4.1016845930942017e-13,35.697946112838565,65213.59440481621,25807.233765096815,0.5401227553968256,5.047057673509873,134.38037715504282,538808.7284330934,213224.91017793785,6.247056398643004,2.9630213198555087,3.439852213377553e-13,24.302053887161122,42055.25973194959,16642.69434708741,0.42823863346575497,9.41338777042217,16.841287682318484,29389.56080528633,11630.447192457415,0.516128771685954,1.4583446400487101,0.03769321073077763,0.043699145714914636
20,21,CHL-WECC,83536.84301548795,31484.157564950267,33.91328508531175,46396.1041133307,17486.203686595094,16.772330825281372,592841.7972196584,223435.8383796172,127432.48426498333,48027.96309585133,1.8093779156607828,37.507324028499305,68518.99570560687,25824.088858463507,0.5317478581289237,77.91037707988608,135.46069501489515,543140.348158338,204703.8849448574,4.876280648807407,2.911969733182262,6.555128726567309,22.49267597149887,38924.08989133663,14670.080110448045,0.27721371224321883,10.598361903739283,27.43964958605772,47884.6549739701,18047.222850691636,0.7895928555589673,1.1051280729928086,0.033604764154624794,0.03864947305639833
21,22,CHL-WECC,86912.01302812244,31196.40347201956,35.28349610500076,41034.51894156986,14729.027260791052,14.834101700934335,592294.7146458251,212599.6654393108,127470.38989519166,45754.523170684304,0.40410247995789766,37.91142650845714,69257.21675458964,24859.349150343416,0.5099797719382586,4.0155432407571,133.30382346653218,534492.2014499377,191851.8946705891,4.4897602506928305,2.885355357127084,1.361786064281424e-11,22.088573491539734,38224.78131306109,13720.49339239345,0.2559981122864015,4.360238870333998,31.799888456391663,55493.66372808047,19919.026881147074,0.8658211976693093,0.9308745228819946,0.03354231418554969,0.03846575612365129
22,23,CHL-WECC,85750.00675033811,29313.62875328002,34.81175874042106,42374.808171320976,14485.822710686396,15.318620278357038,610227.1120079583,208606.05957348197,133687.71965480832,45701.12972986064,0.4224567443753968,38.333883252832436,70028.96767533412,23939.393572142162,0.489097218537697,8.934156178928161,139.8287311833038,560654.3339312356,191659.6117785486,4.429383202359961,2.711217523390853,5.444155842741609e-12,21.666116747166246,37493.71026068691,12817.220019174962,0.23650038868728984,2.2577088293299923,34.057597285721606,59433.56857216717,20317.357754613233,0.879270003330078,0.9155039953153796,0.033025235407047104,0.03798937952987819
23,24,CHL-WECC,82760.5619730522,26944.464230042147,33.59813982307624,40992.72563045487,13346.055211676427,14.818993293586306,620596.6214081334,202048.45240491748,132668.32425344168,43192.99956506396,0.5027922409733009,38.836675493805544,70947.47680101507,23098.46266509341,0.4695095891407293,9.530918693972119,149.35964987727127,598869.3046808031,194974.66152654027,4.471749926531465,2.4920934966366106,3.771055563496034e-12,21.16332450619341,36623.6167951921,11923.598743011667,0.21771812301503649,1.3985183529664997,35.456115638688054,61874.108805617885,20144.434398857215,0.868799119943308,0.8434706893779489,0.03223939292232174,0.03818009096517342
24,25,CHL-WECC,82885.1983738841,25700.040253153144,33.648738213449036,41776.5910733832,12953.58029285674,15.10236300280126,638102.0321649875,197854.96366051,134118.43330885,41585.82234645809,0.8773873109510202,39.7140628047561,72550.30235437886,22495.520641396677,0.45305031854312694,4.831379825395298,154.19102970266596,618241.1034166762,191696.7269872485,4.377750305056114,2.376996723014137,0.7786549078696974,20.285937195242873,35105.27799885541,10885.020188996587,0.19100410673341914,0.7977975499955965,36.2539131886836,63266.33724136387,19616.860979667093,0.8440205073003074,0.8186662745085465,0.031980096034488995,0.03784438059308721
25,26,CHL-WECC,79200.01679918675,23387.98447930915,32.152672419932195,39362.09212202751,11623.734903457362,14.229514388389303,637968.5620221667,188393.88462118132,133877.9137434833,39534.518997564504,20.421070032504385,38.717877431213495,70730.45454865726,20886.89927166106,0.30665516591027897,4.40510276868673,158.59613247135238,635903.7106489403,187784.12828752364,4.269666650010482,2.163154684491299,7.86604414148094,21.282122568785123,36829.199557914326,10875.764708862087,0.15226695897633555,1.7664644250052286,38.02037761368879,66348.9764438027,19593.03664316445,0.8378358158700732,0.7346200458985046,0.03087416202399359,0.03713534244426586
26,27,CHL-WECC,86707.45316282584,24385.667853177467,35.20045134560595,36265.48246311096,10199.330941250708,13.110080706861998,665572.8589337501,187186.20000946656,138849.59830930832,39050.16307605678,5.890109867256057,38.206868068953845,69796.93425081919,19629.741085974627,0.2554135636997016,2.307358384982607,160.90349085633443,645155.246206228,181443.9356000487,4.11497647146401,2.2554304197403754,0.5110093622780804,21.7931319310449,37713.512939617685,10606.57609669382,0.14765430659167017,4.489971334792912,42.51034894848164,74184.38000955434,20863.669555715653,0.877880859239254,0.6445977154870444,0.03105599087152352,0.03666940726538273
27,28,CHL-WECC,87241.21741856587,23367.41343309711,35.417142552980195,34552.9971117424,9254.962192800263,12.491012114886228,663751.8832984334,177784.82617472723,138547.0738168792,37109.60082425291,2.6851808916010023,38.68456657717526,70669.60173326949,18928.734028672505,0.23456604587872484,2.0077468445214395,161.6749722823274,648248.5618744034,173632.28759238042,3.9192755780707604,2.1612520684271415,0.02851017978827822,21.31543342282307,36886.84475222439,9880.079360106036,0.13602659624264707,1.9619251439576992,44.47227409243927,77608.11573578979,20787.20334060718,0.8683544993815663,0.5849136105849773,0.030894537392680485,0.0367826588570551
28,29,CHL-WECC,78161.68350164636,19938.548129661496,31.73114232779617,34837.729403410194,8886.883103322443,12.593943692520998,680389.9604869292,173563.1496962495,141703.67852729585,36147.70675208214,1.1669306032582113e-07,38.68456669386593,70669.60194644192,18027.36579597179,0.22339623470383219,22.45067478241404,180.30767605224906,722957.8582619173,184421.94956520616,4.0241597207452395,1.8441163165123797,0.870190356174168,21.315433306132594,36886.84455028885,9409.599339064704,0.1256868445908586,2.393768798516911,46.8660428909561,81785.45745602352,20862.949807867943,0.8633603155424123,0.5616510121299786,0.029219841186161135,0.036442416828847496
29,30,CHL-WECC,73904.41856272185,17954.806602009063,30.002828995070903,34431.91596159944,8365.107310904177,12.447240915866105,687950.9843993626,167135.1607491409,142897.5025869375,34716.42254625242,4.883471293973889e-12,38.68456669386892,70669.60194644738,17168.919805688744,0.2127583187655581,8.711796248979603,185.60905243347747,744214.1452837887,180804.0886988311,3.883461419827058,1.660640062619809,1.9850624943997455,21.315433306130092,36886.84455028452,8961.52318006057,0.11131071446440821,2.9673230932202332,49.83336598417624,86963.70297514039,21127.51170605651,0.8638103242566951,0.5286747820491446,0.02854233727480382,0.03597026836969268
