,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
10,11,CHL-WECC,2.535551061353587e-07,1.5566084015943056e-07,9.166093153325054e-11,795599.0456325568,488428.7986182058,3409.030526669116,108313.24107009462,66494.93422688635,1463958.5136781984,898743.5341808767,8.718176920451402,56.27968972345809,104213.85937338507,63978.269471953965,0.0,0.4572447205376162,7.131450602354146,29596.3300195869,18169.579255190634,0.0,9.837765098076006e-12,77.42321243398354,484.7364214001001,855525.2171790575,525218.2695645597,0.0,17.125076950823324,96.26353138190171,163380.64215272342,100301.54158955693,0.0,3.8683560850561887,0.34810743135153077,0.0,0.003525186858011993,0.004368312758372495
11,12,CHL-WECC,2.6470668570072175e-07,1.5476851681192499e-07,9.569226100086811e-11,755612.9065757558,441791.21704124945,3237.6955188702104,110250.06253664047,64460.9281856582,1466106.4254285477,857202.0625446211,10.025903458519021,66.1765931819771,122540.0887880467,71646.65199718405,0.0,0.5008201424055466,7.503270744759693,31139.425843447996,18206.57736470701,0.0,9.781370262513668e-12,85.16553367737737,569.5255550774774,1005171.991799875,587703.2455751491,0.0,20.0850190382504,115.9721504201521,196830.55603172042,115082.74957111446,0.0,3.4989864389667145,0.32013151029966813,0.0,0.0030938300132019527,0.004143724970718514
12,13,CHL-WECC,2.765391672640129e-07,1.5398735592426518e-07,9.996973858344246e-11,717795.7453746647,399695.529633265,3075.654277526091,111255.57561033491,61951.26748071713,1474632.5844584445,821130.6010903418,11.529788977297013,77.44338215927412,143402.95366592886,79852.13047837198,0.0,0.5485483019768372,7.78881904673653,32324.483730415526,17999.4820643671,0.0,9.732000894413558e-12,93.68208704511311,661.2408421225905,1167042.9332102076,649853.1738311377,0.0,22.394796227649085,136.4001466478012,231501.41314297536,128908.64919899088,0.0,3.165588594695465,0.29252816157009826,0.0,0.002709466790994741,0.00391596394326494
13,14,CHL-WECC,2.8930816342896585e-07,1.5342629598235877e-07,1.0458576900406125e-10,682237.6673859807,361805.20122922846,2923.292891475484,113075.88428803445,59966.555681041464,1479489.7366979206,784604.9954314925,13.25925732389142,90.31263948316554,167233.1307614667,88687.29977806217,0.0,0.6008249551552717,7.999644001891802,33199.43124068507,17606.367216215694,0.0,9.696541906085054e-12,103.05029574961588,762.3733378722065,1345534.576442099,713565.7139187182,0.0,24.97019779382872,159.45254444162993,270626.46393478394,143518.99187425472,0.0,2.86549719373548,0.2626670962684814,0.0,0.002360551663444023,0.003703847573237581
14,15,CHL-WECC,3.023973500576832e-07,1.527312105849033e-07,1.0931754923790255e-10,640140.766589366,323314.5866102731,2742.9135651281335,115301.66574238331,58235.176293479046,1473173.7884439682,744052.869736048,15.248145922474809,105.25378540564034,194899.85187689966,98437.66922659548,0.0,0.6580835733816114,8.350727575273414,34656.46794775109,17503.87132442544,0.0,9.652612508965878e-12,113.35532532456676,874.3412631967732,1543149.9801984476,779395.6016639048,0.0,27.841770540119025,185.90691498174894,315525.419796311,159361.77789457445,0.0,2.560651525953384,0.23255642797269754,0.0,0.002026981550118753,0.0034815525019463323
15,16,CHL-WECC,3.1669734211115737e-07,1.5233683647543206e-07,1.1448703926520974e-10,602582.1841922397,289852.33360146947,2581.9802977579798,117221.66900018809,56385.62705585069,1463990.2894982619,704204.360687813,17.53536781084553,122.49515321648587,226825.92483986664,109107.14813827311,0.0,0.7207989379249221,8.777526513198335,36427.73201773782,17522.361945207762,0.0,9.627688065247305e-12,124.69085785700966,992.2521210537828,1751254.2360835746,842383.2306604395,0.0,31.0435741522327,210.17048913398165,356706.1064904759,171581.73621537723,0.0,2.2956304821236557,0.20557207357510923,0.0,0.001748546354357349,0.0032885031304821163
16,17,CHL-WECC,3.3182423126808996e-07,1.52012503619851e-07,1.1995545507610818e-10,568109.8511068331,260257.66854885896,2434.2711766136304,119765.93737667539,54866.155854355464,1467183.0414069204,672133.4561388956,20.16567298247157,141.81382619895743,262598.5717639762,120299.43138356302,0.0,0.7894910767092088,8.720017589907545,36189.06345397838,16578.626938345387,0.0,9.60719022877457e-12,137.15994364269025,1123.3856646964732,1982695.5894696708,908295.694137587,0.0,34.613585179739424,238.75767431372108,405224.9235851368,185638.2064924358,0.0,2.0612407349069675,0.179659763658254,0.0,0.0015028811916252467,0.0030823957284252736
17,18,CHL-WECC,3.4742733181072376e-07,1.5158139405449695e-07,1.2559602273157182e-10,525954.4862464755,229472.20018340735,2253.6413399380585,121586.86951245078,53047.94842525578,1474220.8234782142,643197.662090495,23.19052392984091,164.32035012879834,304274.20521777146,132753.82786193988,0.0,0.8647295763196369,8.900747166227182,36939.111723721755,16116.41208834718,0.0,9.579944104244187e-12,150.87593800693418,1272.5828027034072,2246017.8987923297,979930.1695577907,0.0,38.594147475409436,275.67302178913053,467878.4860427181,204133.83366482056,0.0,1.8174198254525744,0.15379643655878333,0.0,0.001261653950803128,0.0028312081717265544
18,19,CHL-WECC,3.6422029881522637e-07,1.5134105707973322e-07,1.3166673068260075e-10,478239.35274084494,198718.3290342771,2049.188672985116,122666.4194875889,50970.43095573232,1476293.2915240158,613430.355270531,26.66910251931454,190.28045264811288,352344.8766546621,146406.5738867477,0.0,0.9471383049429388,9.13888547117012,37927.41273797397,15759.623378312263,0.0,9.564754807439134e-12,165.96353180758007,1436.9897345109873,2536184.4095615437,1053837.0067257134,0.0,43.03247443508152,317.148896224212,538272.2779779612,223663.24944241432,0.0,1.573849165951458,0.12640340337408254,0.0,0.0010377614511130338,0.0025590766967516503
19,20,CHL-WECC,3.8111439072963306e-07,1.5081990591942753e-07,1.3777399559193457e-10,425515.4083965254,168390.89633631305,1823.2739528219427,124629.06614909443,49319.95350647102,1479938.580907595,585661.9507641689,30.669467897205813,220.7659205453187,408795.2281043972,161774.15322727733,0.0,1.0374005854040387,9.992286056574159,41469.12210018829,16410.73978271414,0.0,9.53181805410782e-12,182.5598849882785,1619.5496194992659,2858389.58820618,1131161.8224360256,0.0,47.98120899511585,365.1301052193279,619707.0708257945,245239.1313290893,0.0,1.3336558989836043,0.09962464720727945,0.0,0.00083186296735034,0.002257199042304562
