,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
10,11,MEX-WECC_highIR_MEX_FF_Costs,248195.05972566037,152370.2366289232,100.75925200670687,822325.798221619,504836.7062567359,309.2364387470385,467086.6593182209,286750.69070753315,1460492.4587421669,896615.6771181466,47.973882033651655,154.03418865935444,269634.9838735788,165532.49021823885,0.0,11.290763533251123,51.571980512671104,40379.513946864696,24789.518783514162,0.0,3.786552750465368,77.42321243391929,483.1970814101831,852598.0510856177,523421.2435044819,0.0,3.767300314504593,49.380464317353784,73979.5045655024,45416.99834314102,0.0,12.545696987186158,0.01300287167693225,0.0,0.01154026489855725,0.01381250393262508,2442.0010543298945,1648.3986737848452,4090.3997281147394
11,12,MEX-WECC_highIR_MEX_FF_Costs,236685.94251425107,138385.36860598568,96.0869187106256,795399.9087551789,465053.8531903951,299.1109310872935,482305.1721611917,281993.8451819173,1468934.4847764168,858855.5702736274,70.09428710286181,223.34847576221628,390968.8049418391,228591.36292836844,0.0,14.525773059693147,65.31775357236424,51142.0952837971,29901.723912921323,0.0,3.439014795227354,85.16553367727936,567.9862150874625,1002207.9161028255,585970.2119037998,0.0,4.115433262787443,53.11949758014123,79581.14951070271,46529.44992059914,0.0,11.557053305634497,0.023105578215299724,0.0,0.010050088579430827,0.013164904566375174,6996.065533385374,635.8334699968084,7631.899003382182
12,13,MEX-WECC_highIR_MEX_FF_Costs,225845.26075096524,125759.09190420515,91.68594881654792,768790.1572633327,428091.126290834,289.1043074290338,488672.77495816664,272111.286341369,1463103.141095125,814710.5756148867,93.68208704495525,316.9015628071715,554732.3520883453,308895.730716439,0.0,18.687671773506448,83.8764253458707,65673.05062551537,36569.211954156126,0.0,3.125239192911404,93.68208704497422,659.7015021324366,1164038.9328819243,648180.4340441319,0.0,4.495736874293494,55.64843445443473,83369.88458284165,46423.47128487065,0.0,10.638492579453521,0.02733872952569555,0.0,0.00865230286429522,0.01268935690810175,9444.172104460364,37.466559179266305,9481.63866363963
13,14,MEX-WECC_highIR_MEX_FF_Costs,217245.03595943915,115209.68089099534,88.19453275838141,739341.0726777947,392088.35625002894,278.02994972155716,508269.34102831664,269546.0834257307,1442796.969841625,765146.0377533488,103.05029574940346,419.951858556575,735120.6481828338,389850.1750315648,0.0,24.042030319421904,107.91845566529261,84497.33251159721,44810.73950347479,0.0,2.863075779822119,103.05029574943217,760.8339978818689,1342486.5520723106,711949.2815181322,0.0,4.911184012054879,58.6418184664896,87854.4326576213,46591.0813871658,0.0,9.743787741169458,0.03550170432575698,0.0,0.0074345018059767355,0.01221848022860247,12675.276897836215,253.08718894434634,12928.36408678056
14,15,MEX-WECC_highIR_MEX_FF_Costs,205095.1373335241,103586.98118237777,83.26206271301605,726337.5362751266,366849.8126302864,273.1399568537972,509270.1742509625,257216.04443060467,1439885.2529447917,727239.8972532604,113.3553253242867,530.9461838808617,929414.8719480414,469417.6668583892,0.0,27.841770540103035,133.39922620539562,104448.11041798673,52753.39332306245,0.0,2.5742400693632677,113.35532532432548,872.8019232061943,1540053.2150103704,777831.5248094549,0.0,5.365022258793112,62.619440725282715,93813.52048966539,47382.20275701844,0.0,9.116584693675229,0.03847864921402391,0.0,0.006452395290731988,0.011914503143929533,14482.201591125688,230.87474864232257,14713.07633976801
15,16,MEX-WECC_highIR_MEX_FF_Costs,197088.68143929658,94803.02561250606,80.01169782654821,718309.7772313828,345519.2845742109,270.1211100376389,533221.0742550668,256488.45377912186,1451699.4268292082,698292.2455937101,124.69085785663586,655.1830417374975,1146889.988714229,551673.6942009038,0.0,31.043574152214223,163.98880035760988,128398.94813701719,61762.08943080097,0.0,2.355949989496384,124.69085785668908,990.7127810628833,1748106.1430559075,840868.9440877506,0.0,5.860799303526959,61.700240028809674,92436.41695162833,44463.4970399992,0.0,8.58649974095372,0.047297104563614904,0.0,0.005667474848109035,0.01151023145129826,18841.124355454896,148.11306644700218,18989.2374219019
16,17,MEX-WECC_highIR_MEX_FF_Costs,184502.80673684075,84522.86160589925,74.90223544534172,712262.8034604859,326295.79695114464,267.8471395041197,539175.450283375,247002.48614971535,1470013.177504125,673429.9740938288,137.15994364217067,791.8689853796682,1386157.0795495426,635014.5294315951,0.0,34.6135851797182,198.27938553732807,155247.58083923388,71120.70554374435,0.0,2.1004776337682007,137.1599436422621,1121.8463247051454,1979490.4126277545,906827.365696285,0.0,6.402390674134104,62.076230702943775,92999.70861318354,42604.23805754223,0.0,8.108776850032909,0.05663759243569499,0.0,0.004968043034428488,0.011153335545685204,23831.4428393669,44.85856795824671,23876.301407325147
17,18,MEX-WECC_highIR_MEX_FF_Costs,173867.41715647292,75857.77818882425,70.58460760817897,694977.8996302012,303216.5555714075,261.34713413383724,548748.3695133375,239417.0959505278,1456749.3513940417,635574.9166924849,150.87593800620553,942.5799233858738,1649974.753356645,719878.5195310451,0.0,38.59414747538495,236.873533012713,185465.790432072,80918.11003064242,0.0,1.88514164577047,150.8759380063911,1271.0434627115364,2242747.774862973,978503.4253193354,0.0,6.994030032655912,67.3914607355997,100962.73791846643,44049.70812594998,0.0,7.535234622505058,0.05785779402095804,0.0,0.004303546295288437,0.010832366382027198,25610.22753811782,0.00010167039482331347,25610.227639788212
18,19,MEX-WECC_highIR_MEX_FF_Costs,161947.98127009987,67292.73123181878,65.74569806025994,680343.8285961885,282696.91319333884,255.84397708742557,557374.1283655042,231600.46282462685,1464750.86388925,608634.2381809726,165.9635318066621,1108.543455192536,1940491.9080985372,806314.4684181559,0.0,43.032474435053125,279.9060074477661,219159.09412808568,91065.13031226651,0.0,1.672291663841929,165.96353180690596,1435.4503945184424,2532842.717560986,1052448.4646772763,0.0,7.640342270164212,73.4752030057639,110077.11635278957,45739.315472835246,0.0,7.025300989767669,0.05625532728130599,0.0,0.0037320977038340095,0.010418336650955063,26145.955682604796,0.00010614024848515801,26145.955788745043
19,20,MEX-WECC_highIR_MEX_FF_Costs,152180.1340208531,60222.846615396375,61.78026464817759,655980.5328795039,259593.77200229705,246.6821353698704,578293.2385530584,228850.27160857557,1443234.6822733334,571136.9717196944,182.55988498712176,1291.1033401796576,2260060.778314257,894382.7949004318,0.0,47.981208995083065,327.8872164428492,256727.12774914,101595.64213768629,0.0,1.4965979612392128,182.55988498745438,1618.010279505897,2854968.425962332,1129807.9523636717,0.0,8.346379659895844,81.82158266565975,122581.27241309795,48509.57198817122,0.0,6.451164828029083,0.06232730617051431,0.0,0.0032115992516321083,0.010012772281359888,30416.449741518634,0.00011020485374255788,30416.44985172349
